phase,slot,mode,frames,ms
0,0,0,80,11.566687500
0,1,1,80,11.652425000
0,2,1,80,11.658337500
0,3,0,80,11.583237500
1,0,0,80,11.578587500
1,1,2,80,11.676925000
1,2,2,80,11.683050000
1,3,0,80,11.611250000
2,0,0,80,11.631325000
2,1,3,80,11.689750000
2,2,3,80,11.686275000
2,3,0,80,11.628550000
7,0,0,80,11.633175000
7,1,8,80,11.714075000
7,2,8,80,11.711462500
7,3,0,80,11.625837500
8,0,0,80,11.660775000
8,1,9,80,11.697225000
8,2,9,80,11.716837500
8,3,0,80,11.646737500
9,0,0,80,11.634337500
9,1,10,80,11.726150000
9,2,10,80,11.712300000
9,3,0,80,11.648700000
10,0,0,80,11.656975000
10,1,11,80,11.727250000
10,2,11,80,11.737087500
10,3,0,80,11.668025000
