repeat,candidate,slot,mode,frames,ms,post_calls,pdl_calls
0,1,0,0,160,16.623618750,160,11880
0,1,1,1,160,16.652393750,160,23760
0,1,2,1,160,16.667793750,160,35640
0,1,3,0,160,16.673875000,160,47520
0,2,0,0,160,16.648600000,160,59400
0,2,1,2,160,16.693831250,160,71280
0,2,2,2,160,16.691950000,160,83160
0,2,3,0,160,16.654631250,160,95040
1,1,0,0,160,16.674737500,160,106920
1,1,1,1,160,16.688275000,160,118800
1,1,2,1,160,16.677056250,160,130680
1,1,3,0,160,16.647162500,160,142560
1,2,0,0,160,16.658375000,160,154440
1,2,1,2,160,16.711793750,160,166320
1,2,2,2,160,16.710962500,160,178200
1,2,3,0,160,16.717300000,160,190080
2,1,0,0,160,16.747331250,160,201960
2,1,1,1,160,16.733575000,160,213840
2,1,2,1,160,16.725587500,160,225720
2,1,3,0,160,16.743050000,160,237600
2,2,0,0,160,16.720275000,160,249480
2,2,1,2,160,16.729643750,160,261360
2,2,2,2,160,16.732631250,160,273240
2,2,3,0,160,16.705093750,160,285120
