variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,200,12.770295000,0,0,257391656,257394218
1,1,1,200,12.781935000,0,3200,257394734,257397281
1,2,1,200,12.760385000,0,3200,257397796,257400359
1,3,0,200,12.792170000,0,0,257400875,257403421
1,4,0,200,12.793175000,0,0,257403953,257406500
1,5,1,200,12.800445000,0,3200,257407015,257409578
1,6,1,200,12.767340000,0,3200,257410093,257412656
1,7,0,200,12.807290000,0,0,257413171,257415734
2,0,0,200,12.819710000,0,0,257416250,257418812
2,1,2,200,12.792510000,0,3200,257419328,257421890
2,2,2,200,12.789365000,0,3200,257422406,257424953
2,3,0,200,12.812140000,0,0,257425484,257428046
2,4,0,200,12.792585000,0,0,257428562,257431109
2,5,2,200,12.795960000,0,3200,257431640,257434187
2,6,2,200,12.830495000,0,3200,257434718,257437281
2,7,0,200,12.801510000,0,0,257437796,257440359
