stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
shape_row,0,0,640,8779,35.848388199,0,2621440,255183953,255184265
shape_row,1,1,640,7407,48.437694073,0,2621440,255184359,255184718
shape_row,2,1,640,7398,48.482968370,0,2621440,255184812,255185171
shape_row,3,0,640,9495,35.962717220,0,2621440,255185265,255185593
shape_row,4,0,640,9682,35.999277009,0,2621440,255185687,255186046
shape_row,5,1,640,5920,48.580405405,0,2621440,255186125,255186406
shape_row,6,1,640,6859,48.595859455,0,2621440,255186500,255186828
shape_row,7,0,640,8976,36.078765597,0,2621440,255186921,255187234
shape_tiled,0,0,640,8901,34.831928997,0,2621440,255187328,255187625
shape_tiled,1,1,640,10355,34.204249155,0,2621440,255187718,255188078
shape_tiled,2,1,640,9785,34.226264691,0,2621440,255188171,255188500
shape_tiled,3,0,640,9580,34.811169102,0,2621440,255188593,255188921
shape_tiled,4,0,640,9275,34.921185984,0,2621440,255189015,255189328
shape_tiled,5,1,640,9453,34.304030467,0,2621440,255189421,255189750
shape_tiled,6,1,640,10015,34.297453819,0,2621440,255189828,255190171
shape_tiled,7,0,640,9846,34.971257363,0,2621440,255190265,255190609
layout_balanced,0,0,640,7256,48.676819184,0,2621440,255190703,255191062
layout_balanced,1,1,640,9155,34.389950847,0,2621440,255191140,255191453
layout_balanced,2,1,640,9397,34.403213792,0,2621440,255191546,255191875
layout_balanced,3,0,640,6225,48.714859438,0,2621440,255191953,255192250
layout_balanced,4,0,640,7748,48.718895199,0,2621440,255192359,255192734
layout_balanced,5,1,640,8707,34.513724589,0,2621440,255192812,255193109
layout_balanced,6,1,640,9065,34.460672918,0,2621440,255193187,255193500
layout_balanced,7,0,640,6926,48.726537684,0,2621440,255193593,255193937
pack,0,0,640,40000,1.882975000,0,655360,255193953,255194031
pack,1,1,640,40000,2.331925000,0,655360,255194046,255194140
pack,2,1,640,40000,2.472325000,0,655360,255194171,255194265
pack,3,0,640,40000,2.396950000,0,655360,255194296,255194390
pack,4,0,640,40000,2.409825000,0,655360,255194421,255194515
pack,5,1,640,40000,3.022025000,0,655360,255194546,255194671
pack,6,1,640,39751,2.961787125,0,655360,255194687,255194812
pack,7,0,640,40000,2.391175000,0,655360,255194828,255194937
pair,0,0,640,6564,39.156764168,0,2621440,255195000,255195265
pair,1,1,640,8567,37.311077390,0,2621440,255195343,255195656
pair,2,1,640,9624,37.306733167,0,2621440,255195765,255196125
pair,3,0,640,8913,39.576797936,0,2621440,255196203,255196562
pair,4,0,640,8300,39.649397590,0,2621440,255196656,255196984
pair,5,1,640,8510,37.385428907,0,2621440,255197062,255197375
pair,6,1,640,9221,37.365687019,0,2621440,255197468,255197812
pair,7,0,640,7673,39.469829271,0,2621440,255197890,255198203
