bm,order,copies,slot,original,tokens,launches,groups,mean_us,per_copy_us,output_diff,checked_bytes,start_ms,end_ms
1,major,1,0,1,400,6926,1600,24.629800751,24.629800751,0,1638400,211142640,211142812
1,major,1,1,0,400,12331,1600,25.101046144,25.101046144,0,1638400,211142906,211143203
1,major,1,2,0,400,11721,1600,25.097090692,25.097090692,0,1638400,211143296,211143578
1,major,1,3,1,400,12075,1600,24.204057971,24.204057971,0,1638400,211143671,211143953
1,major,1,4,1,400,9538,1600,24.181799119,24.181799119,0,1638400,211144031,211144250
1,major,1,5,0,400,12121,1600,24.882847950,24.882847950,0,1638400,211144343,211144640
1,major,1,6,0,400,12648,1600,24.919750158,24.919750158,0,1638400,211144734,211145046
1,major,1,7,1,400,11327,1600,24.228657191,24.228657191,0,1638400,211145125,211145390
1,major,2,0,1,400,11700,1600,24.220256410,24.220256410,0,1638400,211145468,211145750
1,major,2,1,0,400,5047,3200,46.959778086,23.479889043,0,3276800,211145828,211146062
1,major,2,2,0,400,6986,3200,46.928285142,23.464142571,0,3276800,211146156,211146484
1,major,2,3,1,400,12144,1600,24.337203557,24.337203557,0,1638400,211146562,211146859
1,major,2,4,1,400,9770,1600,24.235721597,24.235721597,0,1638400,211146921,211147156
1,major,2,5,0,400,5589,3200,46.029880122,23.014940061,0,3276800,211147234,211147484
1,major,2,6,0,400,7960,3200,45.932286432,22.966143216,0,3276800,211147593,211147953
1,major,2,7,1,400,13852,1600,24.341611320,24.341611320,0,1638400,211148046,211148390
1,major,4,0,1,400,10543,1600,24.279711657,24.279711657,0,1638400,211148453,211148718
1,major,4,1,0,400,3615,6400,90.049515906,22.512378976,0,6553600,211148812,211149140
1,major,4,2,0,400,4180,6400,89.978468900,22.494617225,0,6553600,211149250,211149625
1,major,4,3,1,400,14096,1600,24.337258797,24.337258797,0,1638400,211149718,211150062
1,major,4,4,1,400,9846,1600,24.288442007,24.288442007,0,1638400,211150140,211150375
1,major,4,5,0,400,3652,6400,90.097754655,22.524438664,0,6553600,211150468,211150796
1,major,4,6,0,400,3482,6400,90.198736358,22.549684090,0,6553600,211150906,211151218
1,major,4,7,1,400,11367,1600,24.359725521,24.359725521,0,1638400,211151296,211151578
1,major,8,0,1,400,11721,1600,24.325569491,24.325569491,0,1638400,211151656,211151937
1,major,8,1,0,400,2073,12800,179.628075253,22.453509407,0,13107200,211152062,211152437
1,major,8,2,0,400,2073,12800,179.407139411,22.425892426,0,13107200,211152562,211152937
1,major,8,3,1,400,11531,1600,24.415748851,24.415748851,0,1638400,211153031,211153312
1,major,8,4,1,400,13278,1600,24.345082091,24.345082091,0,1638400,211153390,211153718
1,major,8,5,0,400,2136,12800,179.192415730,22.399051966,0,13107200,211153843,211154234
1,major,8,6,0,400,2015,12800,179.361290323,22.420161290,0,13107200,211154359,211154718
1,major,8,7,1,400,12623,1600,24.361483007,24.361483007,0,1638400,211154828,211155125
1,interleave,1,0,1,400,12213,1600,24.379513633,24.379513633,0,1638400,211155218,211155515
1,interleave,1,1,0,400,13278,1600,24.192272933,24.192272933,0,1638400,211155593,211155921
1,interleave,1,2,0,400,13195,1600,24.210534293,24.210534293,0,1638400,211156000,211156328
1,interleave,1,3,1,400,11307,1600,24.345095958,24.345095958,0,1638400,211156390,211156671
1,interleave,1,4,1,400,10596,1600,24.365420914,24.365420914,0,1638400,211156750,211157000
1,interleave,1,5,0,400,8815,1600,24.139761770,24.139761770,0,1638400,211157062,211157281
