bm,order,copies,slot,original,tokens,launches,groups,mean_us,per_copy_us,output_diff,checked_bytes,start_ms,end_ms
1,interleave,1,6,0,400,13389,1600,24.178056614,24.178056614,0,1638400,211157359,211157687
1,interleave,1,7,1,400,12307,1600,24.337125213,24.337125213,0,1638400,211157765,211158062
1,interleave,2,0,1,400,12573,1600,24.322198362,24.322198362,0,1638400,211158156,211158453
1,interleave,2,1,0,400,4681,3200,44.951933348,22.475966674,0,3276800,211158515,211158734
1,interleave,2,2,0,400,8121,3200,45.030045561,22.515022780,0,3276800,211158828,211159203
1,interleave,2,3,1,400,11267,1600,24.452383066,24.452383066,0,1638400,211159265,211159546
1,interleave,2,4,1,400,11267,1600,24.360699388,24.360699388,0,1638400,211159625,211159890
1,interleave,2,5,0,400,5755,3200,45.123023458,22.561511729,0,3276800,211159968,211160234
1,interleave,2,6,0,400,6659,3200,45.178705511,22.589352756,0,3276800,211160312,211160625
1,interleave,2,7,1,400,12167,1600,24.468233747,24.468233747,0,1638400,211160703,211161000
1,interleave,4,0,1,400,11636,1600,24.382261946,24.382261946,0,1638400,211161078,211161359
1,interleave,4,1,0,400,3916,6400,86.644279877,21.661069969,0,6553600,211161468,211161796
1,interleave,4,2,0,400,4263,6400,86.718977246,21.679744312,0,6553600,211161906,211162281
1,interleave,4,3,1,400,12500,1600,24.451200000,24.451200000,0,1638400,211162375,211162671
1,interleave,4,4,1,400,10047,1600,24.373842938,24.373842938,0,1638400,211162750,211162984
1,interleave,4,5,0,400,3537,6400,86.732258977,21.683064744,0,6553600,211163078,211163390
1,interleave,4,6,0,400,4045,6400,86.539184178,21.634796044,0,6553600,211163500,211163843
1,interleave,4,7,1,400,10921,1600,24.443640692,24.443640692,0,1638400,211163921,211164187
1,interleave,8,0,1,400,10322,1600,24.337337725,24.337337725,0,1638400,211164265,211164515
1,interleave,8,1,0,400,2166,12800,163.012465374,20.376558172,0,13107200,211164625,211164984
1,interleave,8,2,0,400,2238,12800,162.000000000,20.250000000,0,13107200,211165125,211165484
1,interleave,8,3,1,400,10207,1600,24.456353483,24.456353483,0,1638400,211165562,211165812
1,interleave,8,4,1,400,12500,1600,24.427840000,24.427840000,0,1638400,211165890,211166203
1,interleave,8,5,0,400,2321,12800,161.706161137,20.213270142,0,13107200,211166328,211166703
1,interleave,8,6,0,400,2227,12800,161.766951055,20.220868882,0,13107200,211166828,211167187
1,interleave,8,7,1,400,10921,1600,24.440344291,24.440344291,0,1638400,211167281,211167546
2,major,1,0,1,400,12500,1600,24.422400000,24.422400000,0,1638400,211167625,211167937
2,major,1,1,0,400,9624,832,22.126246883,22.126246883,0,1638400,211168000,211168218
2,major,1,2,0,400,12598,832,22.075488173,22.075488173,0,1638400,211168296,211168578
2,major,1,3,1,400,12331,1600,24.414402725,24.414402725,0,1638400,211168656,211168953
2,major,1,4,1,400,12167,1600,24.419988493,24.419988493,0,1638400,211169031,211169328
2,major,1,5,0,400,12190,832,22.064150943,22.064150943,0,1638400,211169406,211169671
2,major,1,6,0,400,11873,832,22.106628485,22.106628485,0,1638400,211169750,211170015
2,major,1,7,1,400,10977,1600,24.413318757,24.413318757,0,1638400,211170093,211170359
2,major,2,0,1,400,11786,1600,24.394196504,24.394196504,0,1638400,211170437,211170718
2,major,2,1,0,400,5781,1664,52.197024736,26.098512368,0,3276800,211170812,211171109
2,major,2,2,0,400,6177,1664,52.202687389,26.101343694,0,3276800,211171203,211171531
2,major,2,3,1,400,12237,1600,24.514014873,24.514014873,0,1638400,211171609,211171906
2,major,2,4,1,400,11034,1600,24.408374116,24.408374116,0,1638400,211171984,211172250
2,major,2,5,0,400,5599,1664,52.218967673,26.109483836,0,3276800,211172328,211172625
2,major,2,6,0,400,6517,1664,52.189350928,26.094675464,0,3276800,211172718,211173062
2,major,2,7,1,400,11287,1600,24.526712147,24.526712147,0,1638400,211173140,211173421
2,major,4,0,1,400,10631,1600,24.410121343,24.410121343,0,1638400,211173484,211173750
2,major,4,1,0,400,3099,3328,105.169409487,26.292352372,0,6553600,211173843,211174171
2,major,4,2,0,400,3132,3328,105.052681992,26.263170498,0,6553600,211174281,211174609
2,major,4,3,1,400,11700,1600,24.519145299,24.519145299,0,1638400,211174687,211174984
2,major,4,4,1,400,11510,1600,24.421459600,24.421459600,0,1638400,211175046,211175328
2,major,4,5,0,400,3380,3328,105.054733728,26.263683432,0,6553600,211175437,211175796
2,major,4,6,0,400,3379,3328,105.136726842,26.284181711,0,6553600,211175906,211176265
2,major,4,7,1,400,11490,1600,24.527067015,24.527067015,0,1638400,211176343,211176625
2,major,8,0,1,400,11428,1600,24.402870144,24.402870144,0,1638400,211176703,211176984
2,major,8,1,0,400,1815,6656,203.530027548,25.441253444,0,13107200,211177109,211177468
2,major,8,2,0,400,1691,6656,209.201655825,26.150206978,0,13107200,211177609,211177953
2,major,8,3,1,400,12929,1600,25.820403744,25.820403744,0,1638400,211178062,211178390
2,major,8,4,1,400,11469,1600,25.719417560,25.719417560,0,1638400,211178468,211178765
2,major,8,5,0,400,1710,6656,214.276608187,26.784576023,0,13107200,211178890,211179250
2,major,8,6,0,400,1727,6656,213.339895773,26.667486972,0,13107200,211179390,211179765
2,major,8,7,1,400,11449,1600,25.876321076,25.876321076,0,1638400,211179859,211180156
2,interleave,1,0,1,400,14004,1600,25.875606969,25.875606969,0,1638400,211180250,211180609
2,interleave,1,1,0,400,14446,832,24.230305967,24.230305967,0,1638400,211180718,211181062
2,interleave,1,2,0,400,13333,832,23.916672917,23.916672917,0,1638400,211181156,211181484
2,interleave,1,3,1,400,12929,1600,25.508778715,25.508778715,0,1638400,211181562,211181890
2,interleave,1,4,1,400,11347,1600,25.492553098,25.492553098,0,1638400,211181968,211182265
2,interleave,1,5,0,400,14780,832,23.477943166,23.477943166,0,1638400,211182359,211182703
2,interleave,1,6,0,400,11636,832,23.638707460,23.638707460,0,1638400,211182781,211183062
2,interleave,1,7,1,400,11327,1600,25.537918248,25.537918248,0,1638400,211183140,211183421
2,interleave,2,0,1,400,11228,1600,25.473102957,25.473102957,0,1638400,211183500,211183796
2,interleave,2,1,0,400,7538,1664,52.685592995,26.342796498,0,3276800,211183906,211184296
2,interleave,2,2,0,400,6680,1664,52.837125749,26.418562874,0,3276800,211184390,211184750
2,interleave,2,3,1,400,10240,1600,25.582519531,25.582519531,0,1638400,211184828,211185078
2,interleave,2,4,1,400,11743,1600,25.597717789,25.597717789,0,1638400,211185171,211185468
2,interleave,2,5,0,400,5507,1664,52.690757218,26.345378609,0,3276800,211185546,211185828
2,interleave,2,6,0,400,7582,1664,52.709311527,26.354655764,0,3276800,211185937,211186343
2,interleave,2,7,1,400,10305,1600,25.599417758,25.599417758,0,1638400,211186421,211186687
2,interleave,4,0,1,400,13913,1600,25.502910947,25.502910947,0,1638400,211186781,211187125
2,interleave,4,1,0,400,4224,3328,92.233191288,23.058297822,0,6553600,211187250,211187640
2,interleave,4,2,0,400,3914,3328,89.896525294,22.474131323,0,6553600,211187750,211188093
2,interleave,4,3,1,400,11130,1600,24.465498652,24.465498652,0,1638400,211188171,211188453
2,interleave,4,4,1,400,10509,1600,24.398325245,24.398325245,0,1638400,211188515,211188781
2,interleave,4,5,0,400,3222,3328,89.891682185,22.472920546,0,6553600,211188859,211189156
2,interleave,4,6,0,400,3731,3328,89.906727419,22.476681855,0,6553600,211189265,211189593
2,interleave,4,7,1,400,13114,1600,24.477657465,24.477657465,0,1638400,211189687,211190000
2,interleave,8,0,1,400,12648,1600,24.429870335,24.429870335,0,1638400,211190093,211190406
2,interleave,8,1,0,400,2271,6656,161.226772347,20.153346543,0,13107200,211190515,211190890
2,interleave,8,2,0,400,2289,6656,161.524246396,20.190530799,0,13107200,211191015,211191390
2,interleave,8,3,1,400,11327,1600,24.465877991,24.465877991,0,1638400,211191484,211191750
2,interleave,8,4,1,400,9891,1600,24.444242240,24.444242240,0,1638400,211191828,211192062
2,interleave,8,5,0,400,2206,6656,163.148232094,20.393529012,0,13107200,211192187,211192546
2,interleave,8,6,0,400,2265,6656,162.714790287,20.339348786,0,13107200,211192671,211193046
2,interleave,8,7,1,400,12007,1600,24.445906555,24.445906555,0,1638400,211193140,211193437
