test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.983100000,0,0,218,333517812,333520531
1,1,1,160,16.882412500,6535753,34880,218,333521046,333523750
1,2,1,160,16.929768750,6535753,34880,218,333524265,333526968
1,3,0,160,17.045087500,0,0,218,333527484,333530218
1,4,0,160,17.072131250,0,0,218,333530734,333533468
1,5,1,160,16.965550000,6535753,34880,218,333533984,333536703
1,6,1,160,16.971725000,6535753,34880,218,333537218,333539937
1,7,0,160,17.108800000,0,0,218,333540453,333543187
2,0,0,160,17.110268750,0,0,218,333543718,333546453
2,1,2,160,16.821081250,6475134,34880,218,333546968,333549656
2,2,2,160,16.827337500,6475134,34880,218,333550171,333552859
2,3,0,160,17.134181250,0,0,218,333553390,333556125
2,4,0,160,17.156781250,0,0,218,333556656,333559390
2,5,2,160,16.844443750,6475134,34880,218,333559906,333562609
2,6,2,160,16.836306250,6475134,34880,218,333563125,333565812
2,7,0,160,17.171281250,0,0,218,333566343,333569093
3,0,0,160,17.159062500,0,0,218,333569609,333572359
3,1,3,160,16.761562500,5926202,34880,218,333572875,333575546
3,2,3,160,16.720637500,5923495,34880,218,333576062,333578734
3,3,0,160,17.121781250,0,0,218,333579265,333582000
3,4,0,160,17.155712500,0,0,218,333582515,333585265
3,5,3,160,16.756775000,5926202,34880,218,333585781,333588468
3,6,3,160,16.771637500,5923495,34880,218,333588984,333591656
3,7,0,160,17.177337500,0,0,218,333592187,333594937
