frame,enqueue_ms,wait_ms,total_ms
0,0.161000000,12.389000000,12.551000000
1,0.139000000,12.543000000,12.682000000
2,0.142000000,12.677000000,12.819000000
3,0.133000000,12.732000000,12.865000000
4,0.141000000,12.785000000,12.926000000
5,0.176000000,12.740000000,12.917000000
6,0.150000000,12.781000000,12.931000000
7,0.144000000,12.697000000,12.841000000
8,0.146000000,12.765000000,12.911000000
9,0.138000000,12.784000000,12.922000000
10,0.154000000,12.725000000,12.879000000
11,0.156000000,12.797000000,12.953000000
12,0.157000000,12.765000000,12.922000000
13,0.151000000,12.717000000,12.869000000
14,0.147000000,12.722000000,12.869000000
15,0.147000000,12.735000000,12.882000000
16,0.137000000,12.760000000,12.897000000
17,0.139000000,12.798000000,12.937000000
18,0.200000000,12.720000000,12.920000000
19,0.138000000,12.694000000,12.832000000
20,0.139000000,12.694000000,12.834000000
21,0.151000000,12.736000000,12.887000000
22,0.141000000,12.699000000,12.840000000
23,0.148000000,12.667000000,12.815000000
24,0.133000000,12.837000000,12.970000000
25,0.143000000,12.687000000,12.830000000
26,0.148000000,12.707000000,12.855000000
27,0.140000000,12.766000000,12.906000000
28,0.136000000,12.781000000,12.917000000
29,0.157000000,12.790000000,12.947000000
30,0.146000000,12.745000000,12.891000000
31,0.146000000,12.694000000,12.840000000
32,0.137000000,12.724000000,12.861000000
33,0.159000000,12.764000000,12.923000000
34,0.142000000,12.710000000,12.852000000
35,0.150000000,12.715000000,12.865000000
36,0.134000000,12.735000000,12.869000000
37,0.139000000,12.737000000,12.876000000
38,0.141000000,12.712000000,12.854000000
39,0.151000000,12.684000000,12.835000000
40,0.135000000,12.787000000,12.922000000
41,0.138000000,12.689000000,12.827000000
42,0.133000000,12.699000000,12.832000000
43,0.123000000,12.732000000,12.855000000
44,0.149000000,12.777000000,12.926000000
45,0.138000000,12.720000000,12.859000000
46,0.152000000,12.754000000,12.906000000
47,0.148000000,12.833000000,12.981000000
48,0.136000000,12.721000000,12.857000000
49,0.157000000,12.696000000,12.853000000
50,0.142000000,12.732000000,12.874000000
51,0.155000000,12.729000000,12.884000000
52,0.138000000,12.768000000,12.906000000
53,0.140000000,12.712000000,12.852000000
54,0.131000000,12.713000000,12.844000000
55,0.136000000,12.696000000,12.832000000
56,0.147000000,12.707000000,12.854000000
57,0.133000000,12.725000000,12.858000000
58,0.148000000,12.763000000,12.911000000
59,0.133000000,12.718000000,12.852000000
60,0.125000000,12.830000000,12.955000000
61,0.123000000,12.717000000,12.840000000
62,0.142000000,12.770000000,12.912000000
63,0.144000000,12.681000000,12.825000000
