repeat,candidate,slot,mode,frames,ms,expand_calls,pdl_calls
0,1,0,0,160,11.549506250,1280,11880
0,1,1,1,160,11.610418750,1280,23760
0,1,2,1,160,11.617118750,1280,35640
0,1,3,0,160,11.623575000,1280,47520
0,2,0,0,160,11.640481250,1280,59400
0,2,1,2,160,11.653706250,1280,71280
0,2,2,2,160,11.659406250,1280,83160
0,2,3,0,160,11.650700000,1280,95040
0,3,0,0,160,11.675937500,1280,106920
0,3,1,3,160,11.673118750,1280,118800
0,3,2,3,160,11.709268750,1280,130680
0,3,3,0,160,11.675350000,1280,142560
0,4,0,0,160,11.691681250,1280,154440
0,4,1,4,160,11.708212500,1280,166320
0,4,2,4,160,11.703068750,1280,178200
0,4,3,0,160,11.721525000,1280,190080
1,1,0,0,160,11.714825000,1280,201960
1,1,1,1,160,11.707600000,1280,213840
1,1,2,1,160,11.710693750,1280,225720
1,1,3,0,160,11.714362500,1280,237600
1,2,0,0,160,11.696656250,1280,249480
1,2,1,2,160,11.736375000,1280,261360
1,2,2,2,160,11.712300000,1280,273240
1,2,3,0,160,11.729156250,1280,285120
1,3,0,0,160,11.720375000,1280,297000
1,3,1,3,160,11.711200000,1280,308880
1,3,2,3,160,11.728400000,1280,320760
1,3,3,0,160,11.732843750,1280,332640
1,4,0,0,160,11.718481250,1280,344520
1,4,1,4,160,11.733643750,1280,356400
1,4,2,4,160,11.755937500,1280,368280
1,4,3,0,160,11.739006250,1280,380160
2,1,0,0,160,11.761725000,1280,392040
2,1,1,1,160,11.761443750,1280,403920
2,1,2,1,160,11.756250000,1280,415800
2,1,3,0,160,11.765800000,1280,427680
2,2,0,0,160,11.764575000,1280,439560
2,2,1,2,160,11.740175000,1280,451440
2,2,2,2,160,11.769006250,1280,463320
2,2,3,0,160,11.751181250,1280,475200
2,3,0,0,160,11.745906250,1280,487080
2,3,1,3,160,11.774587500,1280,498960
2,3,2,3,160,11.764650000,1280,510840
2,3,3,0,160,11.764668750,1280,522720
2,4,0,0,160,11.745712500,1280,534600
2,4,1,4,160,11.757800000,1280,546480
2,4,2,4,160,11.745456250,1280,558360
2,4,3,0,160,11.745043750,1280,570240
