mode,slot,candidate,launches,mean_us,byte_diff,checked_bytes,start_ms,end_ms
3,0,0,130,1595.661538462,0,141557760,271355296,271355500
3,1,1,129,1624.403100775,0,141557760,271355687,271355890
3,2,1,129,1629.503875969,0,141557760,271356046,271356265
3,3,0,128,1624.648437500,0,141557760,271356421,271356625
3,4,0,128,1622.421875000,0,141557760,271356812,271357015
3,5,1,128,1627.796875000,0,141557760,271357187,271357390
3,6,1,128,1630.109375000,0,141557760,271357546,271357765
3,7,0,129,1623.372093023,0,141557760,271357937,271358140
