mode,slot,candidate,launches,mean_us,byte_diff,checked_bytes,start_ms,end_ms
4,0,0,129,1604.682170543,0,141557760,271369515,271369718
4,1,1,128,1623.007812500,0,141557760,271369890,271370093
4,2,1,127,1624.606299213,0,141557760,271370250,271370468
4,3,0,127,1631.905511811,0,141557760,271370625,271370828
4,4,0,127,1632.220472441,0,141557760,271370984,271371187
4,5,1,129,1627.837209302,0,141557760,271371359,271371562
4,6,1,129,1627.775193798,0,141557760,271371734,271371937
4,7,0,128,1626.687500000,0,141557760,271372125,271372328
