test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.120756250,0,0,218,327487437,327489375
1,1,1,160,12.223725000,0,34880,218,327489734,327491703
1,2,1,160,12.237143750,0,34880,218,327492062,327494031
1,3,0,160,12.139156250,0,0,218,327494406,327496343
1,4,0,160,12.142106250,0,0,218,327496718,327498656
1,5,1,160,12.217062500,0,34880,218,327499031,327500984
1,6,1,160,12.230043750,0,34880,218,327501359,327503312
1,7,0,160,12.174681250,0,0,218,327503687,327505640
2,0,0,160,12.172587500,0,0,218,327506000,327507953
2,1,2,160,12.227968750,0,34880,218,327508328,327510281
2,2,2,160,12.226112500,0,34880,218,327510656,327512609
2,3,0,160,12.166275000,0,0,218,327512984,327514921
2,4,0,160,12.163106250,0,0,218,327515296,327517250
2,5,2,160,12.224800000,0,34880,218,327517625,327519578
2,6,2,160,12.223243750,0,34880,218,327519953,327521906
2,7,0,160,12.159306250,0,0,218,327522281,327524218
3,0,0,160,12.176456250,0,0,218,327524593,327526546
3,1,3,160,12.245475000,0,34880,218,327526906,327528875
3,2,3,160,12.248656250,0,34880,218,327529250,327531203
3,3,0,160,12.181706250,0,0,218,327531578,327533531
3,4,0,160,12.130350000,0,0,218,327533890,327535843
3,5,3,160,12.197062500,0,34880,218,327536203,327538156
3,6,3,160,12.242193750,0,34880,218,327538531,327540484
3,7,0,160,12.155287500,0,0,218,327540859,327542812
