variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
work1,0,400,11873,32.189589826,0,1638400,213440156,213440546
work1,1,400,7467,30.728003214,0,1638400,213440609,213440828
work1,2,400,8421,33.943712148,0,1638400,213440906,213441187
work1,3,400,11552,35.172437673,0,1638400,213441296,213441703
work1,4,400,10272,37.290109034,0,1638400,213441796,213442187
work1,5,400,10240,33.221875000,0,1638400,213442281,213442625
work1,6,400,12213,33.176451322,0,1638400,213442734,213443140
work1,7,400,7901,38.980129098,0,1638400,213443203,213443515
work2,0,400,11985,32.587317480,0,1638400,213443609,213444000
work2,1,400,5414,105.016808275,0,1638400,213444140,213444703
work2,2,400,3375,87.608296296,0,1638400,213444796,213445093
work2,3,400,11149,33.768050946,0,1638400,213445187,213445562
work2,4,400,11962,34.367246280,0,1638400,213445671,213446078
work2,5,400,5071,96.231118123,0,1638400,213446203,213446687
work2,6,400,5599,105.305054474,0,1638400,213446843,213447421
work2,7,400,7467,33.608276416,0,1638400,213447484,213447734
work4,0,400,7872,33.246443089,0,1638400,213447796,213448062
work4,1,400,4435,104.335287486,0,1638400,213448187,213448656
work4,2,400,5173,104.804175527,0,1638400,213448812,213449343
work4,3,400,12903,34.322793149,0,1638400,213449468,213449906
work4,4,400,7025,35.867615658,0,1638400,213449968,213450218
work4,5,400,4232,106.193761815,0,1638400,213450359,213450796
work4,6,400,3895,107.947111682,0,1638400,213450921,213451328
work4,7,400,12955,33.823774604,0,1638400,213451453,213451890
work8,0,400,12167,36.569902194,0,1638400,213452000,213452437
work8,1,400,3176,179.516057935,0,1638400,213452578,213453156
work8,2,400,2601,170.978085352,0,1638400,213453265,213453703
work8,3,400,7002,36.220222793,0,1638400,213453765,213454031
work8,4,400,7940,33.209319899,0,1638400,213454093,213454359
work8,5,400,2831,177.623807842,0,1638400,213454484,213454984
work8,6,400,2069,179.093765104,0,1638400,213455093,213455468
work8,7,400,11208,36.709314775,0,1638400,213455578,213455984
control2,0,400,12167,37.112024328,0,1638400,213456093,213456546
control2,1,400,11034,45.417255755,0,1638400,213456687,213457187
control2,2,400,7182,45.576858814,0,1638400,213457265,213457593
control2,3,400,7720,35.385103627,0,1638400,213457656,213457937
control2,4,400,11918,34.407870448,0,1638400,213458046,213458453
control2,5,400,7520,46.297473404,0,1638400,213458531,213458890
control2,6,400,10543,46.183059850,0,1638400,213459000,213459484
control2,7,400,6956,35.563110983,0,1638400,213459546,213459796
control4,0,400,12075,34.688281573,0,1638400,213459890,213460312
control4,1,400,5136,54.685747664,0,1638400,213460375,213460656
control4,2,400,8779,49.093404716,0,1638400,213460765,213461203
control4,3,400,6400,36.335937500,0,1638400,213461265,213461484
control4,4,400,8476,38.191953752,0,1638400,213461578,213461906
control4,5,400,6964,48.728891442,0,1638400,213462000,213462343
control4,6,400,6072,49.264492754,0,1638400,213462406,213462703
control4,7,400,10240,34.374316406,0,1638400,213462796,213463140
control8,0,400,12144,35.034832016,0,1638400,213463250,213463671
control8,1,400,5541,83.318173615,0,1638400,213463781,213464234
control8,2,400,8707,76.047318250,0,1638400,213464406,213465062
control8,3,400,6786,35.723401120,0,1638400,213465109,213465359
control8,4,400,7056,34.968820862,0,1638400,213465421,213465671
control8,5,400,6393,84.003441264,0,1638400,213465796,213466328
control8,6,400,6497,84.322764353,0,1638400,213466468,213467015
control8,7,400,9800,36.411734694,0,1638400,213467109,213467453
