test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.430881250,0,1600,295708734,295711531
1,1,1,160,17.410400000,0,1600,295712062,295714843
1,2,1,160,17.428831250,0,1600,295715375,295718156
1,3,0,160,17.548881250,0,1600,295718703,295721500
1,4,0,160,17.607512500,0,1600,295722046,295724859
1,5,1,160,17.492731250,0,1600,295725390,295728187
1,6,1,160,17.470918750,0,1600,295728718,295731515
1,7,0,160,17.631631250,0,1600,295732046,295734875
2,0,0,160,17.651168750,0,1600,295735406,295738234
2,1,2,160,17.562931250,0,1600,295738765,295741578
2,2,2,160,17.602218750,0,1600,295742109,295744937
2,3,0,160,17.674875000,0,1600,295745468,295748296
2,4,0,160,17.674150000,0,1600,295748828,295751656
2,5,2,160,17.634856250,0,1600,295752203,295755015
2,6,2,160,17.611375000,0,1600,295755562,295758375
2,7,0,160,17.704437500,0,1600,295758906,295761750
3,0,0,160,17.687931250,0,1600,295762281,295765109
3,1,3,160,17.566175000,0,1600,295765656,295768453
3,2,3,160,17.596237500,0,1600,295769000,295771812
3,3,0,160,17.698481250,0,1600,295772343,295775171
3,4,0,160,17.674981250,0,1600,295775718,295778546
3,5,3,160,17.613556250,0,1600,295779078,295781906
3,6,3,160,17.636531250,0,1600,295782437,295785265
3,7,0,160,17.724100000,0,1600,295785796,295788625
