test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.342650000,0,1600,299922875,299925640
1,1,1,160,17.355606250,0,1600,299926171,299928953
1,2,1,160,17.371812500,0,1600,299929484,299932265
1,3,0,160,17.433362500,0,1600,299932796,299935578
1,4,0,160,17.467750000,0,1600,299936109,299938906
1,5,1,160,17.432231250,0,1600,299939437,299942218
1,6,1,160,17.452350000,0,1600,299942750,299945546
1,7,0,160,17.505243750,0,1600,299946078,299948875
2,0,0,160,17.495343750,0,1600,299949406,299952203
2,1,2,160,17.419600000,0,1600,299952734,299955531
2,2,2,160,17.450625000,0,1600,299956062,299958843
2,3,0,160,17.540356250,0,1600,299959390,299962187
2,4,0,160,17.522925000,0,1600,299962718,299965531
2,5,2,160,17.466306250,0,1600,299966062,299968859
2,6,2,160,17.450181250,0,1600,299969390,299972171
2,7,0,160,17.531775000,0,1600,299972718,299975515
3,0,0,160,17.556468750,0,1600,299976046,299978859
3,1,3,160,17.473887500,0,1600,299979390,299982187
3,2,3,160,17.497687500,0,1600,299982718,299985515
3,3,0,160,17.570218750,0,1600,299986046,299988859
3,4,0,160,17.578506250,0,1600,299989406,299992218
3,5,3,160,17.492537500,0,1600,299992750,299995546
3,6,3,160,17.507543750,0,1600,299996078,299998875
3,7,0,160,17.599737500,0,1600,299999406,300002234
