phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
input,0,0,1,1,134,1635.492537313,0,26542080
input,0,1,0,1,121,1701.760330579,0,26542080
input,0,2,0,1,123,1703.666666667,0,26542080
input,0,3,1,1,126,1651.968253968,0,26542080
input,1,0,0,1,122,1708.557377049,0,26542080
input,1,1,0,2,109,1919.807339450,0,26542080
input,1,2,0,2,107,1941.158878505,0,26542080
input,1,3,0,1,127,1698.196850394,0,26542080
input,2,0,0,1,122,1690.631147541,0,26542080
input,2,1,0,4,87,2394.954022989,0,26542080
input,2,2,0,4,87,2419.333333333,0,26542080
input,2,3,0,1,126,1700.523809524,0,26542080
tail,0,0,1,1,124,1653.693548387,0,26542080
tail,0,1,0,1,122,1688.745901639,0,26542080
tail,0,2,0,1,123,1687.764227642,0,26542080
tail,0,3,1,1,127,1668.913385827,0,26542080
tail,1,0,0,1,126,1699.738095238,0,26542080
tail,1,1,0,2,113,1860.557522124,0,26542080
tail,1,2,0,2,115,1853.400000000,0,26542080
tail,1,3,0,1,122,1692.508196721,0,26542080
tail,2,0,0,1,121,1708.206611570,0,26542080
tail,2,1,0,4,100,2102.160000000,0,26542080
tail,2,2,0,4,100,2120.960000000,0,26542080
tail,2,3,0,1,123,1692.951219512,0,26542080
