bm,order,copies,slot,original,tokens,launches,groups,mean_us,per_copy_us,output_diff,checked_bytes,start_ms,end_ms
1,interleave,8,5,0,640,1566,20480,254.136653895,31.767081737,0,20971520,211107703,211108093
1,interleave,8,6,0,640,1527,20480,253.980353635,31.747544204,0,20971520,211108265,211108656
1,interleave,8,7,1,640,10078,2560,36.702619567,36.702619567,0,2621440,211108765,211109140
2,major,1,0,1,640,9397,2560,36.713738427,36.713738427,0,2621440,211109234,211109578
2,major,1,1,0,640,9103,1280,38.213775678,38.213775678,0,2621440,211109687,211110031
2,major,1,2,0,640,9425,1280,38.122758621,38.122758621,0,2621440,211110125,211110484
2,major,1,3,1,640,9370,2560,36.660512273,36.660512273,0,2621440,211110593,211110937
2,major,1,4,1,640,8268,2560,36.704039671,36.704039671,0,2621440,211111015,211111312
2,major,1,5,0,640,9523,1280,38.210962932,38.210962932,0,2621440,211111421,211111781
2,major,1,6,0,640,9425,1280,38.353952255,38.353952255,0,2621440,211111875,211112234
2,major,1,7,1,640,9481,2560,36.739373484,36.739373484,0,2621440,211112328,211112687
2,major,2,0,1,640,9481,2560,36.706887459,36.706887459,0,2621440,211112781,211113125
2,major,2,1,0,640,5250,2560,75.253142857,37.626571429,0,5242880,211113234,211113640
2,major,2,2,0,640,5215,2560,75.887440077,37.943720038,0,5242880,211113750,211114140
2,major,2,3,1,640,10142,2560,36.784066259,36.784066259,0,2621440,211114250,211114625
2,major,2,4,1,640,9922,2560,36.759020359,36.759020359,0,2621440,211114718,211115093
2,major,2,5,0,640,5298,2560,75.906002265,37.953001133,0,5242880,211115203,211115609
2,major,2,6,0,640,5067,2560,75.864022104,37.932011052,0,5242880,211115718,211116109
2,major,2,7,1,640,9495,2560,36.783780937,36.783780937,0,2621440,211116203,211116546
2,major,4,0,1,640,8060,2560,36.847022333,36.847022333,0,2621440,211116640,211116937
2,major,4,1,0,640,2937,5120,145.972420838,36.493105209,0,10485760,211117062,211117484
2,major,4,2,0,640,2689,5120,146.603198215,36.650799554,0,10485760,211117625,211118015
2,major,4,3,1,640,9815,2560,36.877228732,36.877228732,0,2621440,211118125,211118484
2,major,4,4,1,640,8648,2560,36.854532840,36.854532840,0,2621440,211118578,211118890
2,major,4,5,0,640,2700,5120,146.165185185,36.541296296,0,10485760,211119015,211119406
2,major,4,6,0,640,2738,5120,145.783418554,36.445854638,0,10485760,211119546,211119937
2,major,4,7,1,640,9580,2560,36.846972860,36.846972860,0,2621440,211120046,211120390
2,major,8,0,1,640,9343,2560,36.859788077,36.859788077,0,2621440,211120500,211120843
2,major,8,1,0,640,1414,10240,288.783592645,36.097949081,0,20971520,211120984,211121390
2,major,8,2,0,640,1394,10240,287.508608321,35.938576040,0,20971520,211121562,211121968
2,major,8,3,1,640,8951,2560,36.907384650,36.907384650,0,2621440,211122078,211122406
2,major,8,4,1,640,9356,2560,36.898995297,36.898995297,0,2621440,211122500,211122843
2,major,8,5,0,640,1462,10240,288.773597811,36.096699726,0,20971520,211123000,211123421
2,major,8,6,0,640,1399,10240,287.984274482,35.998034310,0,20971520,211123593,211124000
2,major,8,7,1,640,9248,2560,36.831855536,36.831855536,0,2621440,211124109,211124453
2,interleave,1,0,1,640,9846,2560,36.892748324,36.892748324,0,2621440,211124546,211124921
2,interleave,1,1,0,640,9356,1280,40.010581445,40.010581445,0,2621440,211125015,211125390
2,interleave,1,2,0,640,9221,1280,40.246936341,40.246936341,0,2621440,211125500,211125859
2,interleave,1,3,1,640,8988,2560,36.882176235,36.882176235,0,2621440,211125953,211126281
2,interleave,1,4,1,640,9891,2560,36.910828025,36.910828025,0,2621440,211126390,211126750
2,interleave,1,5,0,640,9248,1280,40.269896194,40.269896194,0,2621440,211126859,211127234
2,interleave,1,6,0,640,8901,1280,40.196831817,40.196831817,0,2621440,211127328,211127687
2,interleave,1,7,1,640,9052,2560,36.882235970,36.882235970,0,2621440,211127781,211128109
2,interleave,2,0,1,640,10174,2560,36.809514449,36.809514449,0,2621440,211128218,211128593
2,interleave,2,1,0,640,5414,2560,75.615072035,37.807536018,0,5242880,211128703,211129109
2,interleave,2,2,0,640,5177,2560,72.751400425,36.375700212,0,5242880,211129218,211129609
2,interleave,2,3,1,640,9039,2560,36.913264742,36.913264742,0,2621440,211129703,211130031
2,interleave,2,4,1,640,9129,2560,36.940628765,36.940628765,0,2621440,211130125,211130453
2,interleave,2,5,0,640,5083,2560,72.729490458,36.364745229,0,5242880,211130562,211130937
2,interleave,2,6,0,640,5360,2560,72.724440299,36.362220149,0,5242880,211131046,211131437
2,interleave,2,7,1,640,9595,2560,36.969775925,36.969775925,0,2621440,211131531,211131890
2,interleave,4,0,1,640,9726,2560,36.964939338,36.964939338,0,2621440,211131984,211132343
2,interleave,4,1,0,640,3014,5120,129.862972794,32.465743198,0,10485760,211132468,211132859
2,interleave,4,2,0,640,2793,5120,130.021482277,32.505370569,0,10485760,211132984,211133343
2,interleave,4,3,1,640,9384,2560,36.893435635,36.893435635,0,2621440,211133453,211133796
2,interleave,4,4,1,640,8731,2560,36.773565456,36.773565456,0,2621440,211133890,211134203
2,interleave,4,5,0,640,2803,5120,130.129504103,32.532376026,0,10485760,211134328,211134687
2,interleave,4,6,0,640,2868,5120,130.111227336,32.527806834,0,10485760,211134812,211135187
2,interleave,4,7,1,640,7795,2560,36.554586273,36.554586273,0,2621440,211135281,211135562
2,interleave,8,0,1,640,10047,2560,36.409176869,36.409176869,0,2621440,211135671,211136031
2,interleave,8,1,0,640,1581,10240,243.901960784,30.487745098,0,20971520,211136171,211136562
2,interleave,8,2,0,640,1612,10240,241.550248139,30.193781017,0,20971520,211136718,211137109
2,interleave,8,3,1,640,8579,2560,36.751602751,36.751602751,0,2621440,211137218,211137531
2,interleave,8,4,1,640,9726,2560,36.999177462,36.999177462,0,2621440,211137640,211138000
2,interleave,8,5,0,640,1610,10240,241.738509317,30.217313665,0,20971520,211138140,211138515
2,interleave,8,6,0,640,1588,10240,242.925692695,30.365711587,0,20971520,211138687,211139078
2,interleave,8,7,1,640,9580,2560,36.760647182,36.760647182,0,2621440,211139187,211139546
