test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.200187500,0,0,218,303196500,303198453
1,1,1,160,12.065718750,0,34880,218,303198812,303200750
1,2,1,160,12.087956250,0,34880,218,303201109,303203046
1,3,0,160,12.200362500,0,0,218,303203421,303205375
1,4,0,160,12.202137500,0,0,218,303205734,303207687
1,5,1,160,12.094037500,0,34880,218,303208062,303209984
1,6,1,160,12.078943750,0,34880,218,303210359,303212296
1,7,0,160,12.200775000,0,0,218,303212656,303214609
2,0,0,160,12.209900000,0,0,218,303214984,303216937
2,1,2,160,12.081193750,0,34880,218,303217296,303219234
2,2,2,160,12.081218750,0,34880,218,303219609,303221531
2,3,0,160,12.217543750,0,0,218,303221906,303223859
2,4,0,160,12.211100000,0,0,218,303224218,303226187
2,5,2,160,12.099056250,0,34880,218,303226546,303228484
2,6,2,160,12.094787500,0,34880,218,303228859,303230781
2,7,0,160,12.225168750,0,0,218,303231156,303233109
3,0,0,160,12.282881250,0,0,218,303233484,303235453
3,1,3,160,12.160056250,0,34880,218,303235812,303237765
3,2,3,160,12.174118750,0,34880,218,303238125,303240078
3,3,0,160,12.296725000,0,0,218,303240453,303242421
3,4,0,160,12.262956250,0,0,218,303242781,303244750
3,5,3,160,12.162237500,0,34880,218,303245125,303247062
3,6,3,160,12.182206250,0,34880,218,303247437,303249390
3,7,0,160,12.271812500,0,0,218,303249750,303251718
