repeat,candidate,slot,mode,frames,ms,post_calls,pdl_calls
0,1,0,0,160,16.664306250,160,11880
0,1,1,1,160,16.699350000,160,23760
0,1,2,1,160,16.679618750,160,35640
0,1,3,0,160,16.732550000,160,47520
0,3,0,0,160,16.738031250,160,59400
0,3,1,3,160,16.717243750,160,71280
0,3,2,3,160,16.751618750,160,83160
0,3,3,0,160,16.744856250,160,95040
1,1,0,0,160,16.738475000,160,106920
1,1,1,1,160,16.717262500,160,118800
1,1,2,1,160,16.717750000,160,130680
1,1,3,0,160,16.746175000,160,142560
1,3,0,0,160,16.722462500,160,154440
1,3,1,3,160,16.729831250,160,166320
1,3,2,3,160,16.752562500,160,178200
1,3,3,0,160,16.727718750,160,190080
2,1,0,0,160,16.713406250,160,201960
2,1,1,1,160,16.721187500,160,213840
2,1,2,1,160,16.740162500,160,225720
2,1,3,0,160,16.747875000,160,237600
2,3,0,0,160,16.754362500,160,249480
2,3,1,3,160,16.738818750,160,261360
2,3,2,3,160,16.723343750,160,273240
2,3,3,0,160,16.743056250,160,285120
