test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.578031250,0,1600,295866890,295869703
1,1,1,160,17.504250000,0,1600,295870234,295873046
1,2,1,160,17.519037500,0,1600,295873578,295876375
1,3,0,160,17.628125000,0,1600,295876906,295879734
1,4,0,160,17.659643750,0,1600,295880265,295883093
1,5,1,160,17.551287500,0,1600,295883625,295886437
1,6,1,160,17.567575000,0,1600,295886968,295889781
1,7,0,160,17.692643750,0,1600,295890328,295893156
2,0,0,160,17.649268750,0,1600,295893687,295896515
2,1,2,160,17.618000000,0,1600,295897046,295899875
2,2,2,160,17.617806250,0,1600,295900406,295903234
2,3,0,160,17.688937500,0,1600,295903765,295906593
2,4,0,160,17.721243750,0,1600,295907140,295909968
2,5,2,160,17.673518750,0,1600,295910515,295913343
2,6,2,160,17.628350000,0,1600,295913875,295916687
2,7,0,160,17.729962500,0,1600,295917234,295920062
3,0,0,160,17.730856250,0,1600,295920609,295923437
3,1,3,160,17.617187500,0,1600,295923984,295926796
3,2,3,160,17.598506250,0,1600,295927343,295930156
3,3,0,160,17.731606250,0,1600,295930687,295933531
3,4,0,160,17.711868750,0,1600,295934078,295936906
3,5,3,160,17.640125000,0,1600,295937437,295940265
3,6,3,160,17.612175000,0,1600,295940796,295943625
3,7,0,160,17.735243750,0,1600,295944156,295947000
