test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.333662500,0,1600,299693687,299696453
1,1,1,160,17.340268750,0,1600,299696984,299699765
1,2,1,160,17.383581250,0,1600,299700281,299703062
1,3,0,160,17.452475000,0,1600,299703593,299706390
1,4,0,160,17.468050000,0,1600,299706921,299709718
1,5,1,160,17.465281250,0,1600,299710250,299713046
1,6,1,160,17.447718750,0,1600,299713578,299716359
1,7,0,160,17.502681250,0,1600,299716890,299719687
2,0,0,160,17.508193750,0,1600,299720218,299723031
2,1,2,160,17.477887500,0,1600,299723562,299726359
2,2,2,160,17.481787500,0,1600,299726890,299729687
2,3,0,160,17.515862500,0,1600,299730218,299733015
2,4,0,160,17.521056250,0,1600,299733546,299736359
2,5,2,160,17.535062500,0,1600,299736890,299739703
2,6,2,160,17.507493750,0,1600,299740234,299743031
2,7,0,160,17.537993750,0,1600,299743562,299746375
3,0,0,160,17.560106250,0,1600,299746906,299749718
3,1,3,160,17.524256250,0,1600,299750250,299753046
3,2,3,160,17.525312500,0,1600,299753578,299756390
3,3,0,160,17.568168750,0,1600,299756921,299759734
3,4,0,160,17.567756250,0,1600,299760265,299763078
3,5,3,160,17.560068750,0,1600,299763609,299766421
3,6,3,160,17.519875000,0,1600,299766953,299769750
3,7,0,160,17.580931250,0,1600,299770296,299773109
