repeat,candidate,slot,mode,frames,ms,target_calls,pdl_calls
0,1,0,0,160,11.563443750,2560,11880
0,1,1,1,160,11.590018750,2560,23760
0,1,2,1,160,11.562050000,2560,35640
0,1,3,0,160,11.608475000,2560,47520
0,5,0,0,160,11.624262500,2560,59400
0,5,1,5,160,11.617968750,2560,71280
0,5,2,5,160,11.626537500,2560,83160
0,5,3,0,160,11.647756250,2560,95040
0,6,0,0,160,11.633056250,2560,106920
0,6,1,6,160,11.650581250,2560,118800
0,6,2,6,160,11.660543750,2560,130680
0,6,3,0,160,11.669500000,2560,142560
0,7,0,0,160,11.687756250,2560,154440
0,7,1,7,160,11.687762500,2560,166320
0,7,2,7,160,11.679975000,2560,178200
0,7,3,0,160,11.697706250,2560,190080
1,1,0,0,160,11.686887500,2560,201960
1,1,1,1,160,11.678412500,2560,213840
1,1,2,1,160,11.694768750,2560,225720
1,1,3,0,160,11.708412500,2560,237600
1,5,0,0,160,11.692893750,2560,249480
1,5,1,5,160,11.724168750,2560,261360
1,5,2,5,160,11.725731250,2560,273240
1,5,3,0,160,11.731175000,2560,285120
1,6,0,0,160,11.735281250,2560,297000
1,6,1,6,160,11.727868750,2560,308880
1,6,2,6,160,11.725831250,2560,320760
1,6,3,0,160,11.740637500,2560,332640
1,7,0,0,160,11.711718750,2560,344520
1,7,1,7,160,11.755350000,2560,356400
1,7,2,7,160,11.752400000,2560,368280
1,7,3,0,160,11.744618750,2560,380160
2,1,0,0,160,11.742293750,2560,392040
2,1,1,1,160,11.744600000,2560,403920
2,1,2,1,160,11.743237500,2560,415800
2,1,3,0,160,11.754137500,2560,427680
2,5,0,0,160,11.727718750,2560,439560
2,5,1,5,160,11.743106250,2560,451440
2,5,2,5,160,11.732050000,2560,463320
2,5,3,0,160,11.756631250,2560,475200
2,6,0,0,160,11.720225000,2560,487080
2,6,1,6,160,11.744806250,2560,498960
2,6,2,6,160,11.766493750,2560,510840
2,6,3,0,160,11.749843750,2560,522720
2,7,0,0,160,11.751675000,2560,534600
2,7,1,7,160,11.761762500,2560,546480
2,7,2,7,160,11.740456250,2560,558360
2,7,3,0,160,11.770293750,2560,570240
