test,slot,mode,repeats,distinct,frames,wall_ms,bitdiff,pairs,extra_pairs,expand_launches,replacements,start_ms,end_ms
clones_base,0,0,4,0,120,18.806091667,0,960,2880,3840,0,266529593,266531843
clones_base,1,0,4,1,120,18.846241667,0,960,2880,3840,0,266532421,266534687
clones_base,2,0,4,1,120,18.886433333,0,960,2880,3840,0,266535265,266537531
clones_base,3,0,4,0,120,18.917041667,0,960,2880,3840,0,266538109,266540375
clones_base,4,0,4,0,120,18.933400000,0,960,2880,3840,0,266540953,266543218
clones_base,5,0,4,1,120,18.940066667,0,960,2880,3840,0,266543796,266546062
clones_base,6,0,4,1,120,18.953475000,0,960,2880,3840,0,266546640,266548921
clones_base,7,0,4,0,120,18.957833333,0,960,2880,3840,0,266549500,266551765
clones_candidate,0,1,4,0,120,18.903691667,0,960,2880,3840,1920,266552343,266554609
clones_candidate,1,1,4,1,120,18.981725000,0,960,2880,3840,1920,266555187,266557468
clones_candidate,2,1,4,1,120,18.929666667,0,960,2880,3840,1920,266558046,266560312
clones_candidate,3,1,4,0,120,18.929450000,0,960,2880,3840,1920,266560890,266563171
clones_candidate,4,1,4,0,120,18.954941667,0,960,2880,3840,1920,266563734,266566015
clones_candidate,5,1,4,1,120,18.963916667,0,960,2880,3840,1920,266566593,266568859
clones_candidate,6,1,4,1,120,18.939141667,0,960,2880,3840,1920,266569437,266571718
clones_candidate,7,1,4,0,120,18.961283333,0,960,2880,3840,1920,266572296,266574562
ab_clones,0,0,4,1,120,19.022533333,0,960,2880,3840,0,266575140,266577437
ab_clones,1,1,4,1,120,18.967933333,0,960,2880,3840,1920,266578015,266580281
ab_clones,2,1,4,1,120,18.972683333,0,960,2880,3840,1920,266580859,266583140
ab_clones,3,0,4,1,120,19.060675000,0,960,2880,3840,0,266583718,266586000
ab_clones,4,0,4,1,120,19.079725000,0,960,2880,3840,0,266586593,266588875
ab_clones,5,1,4,1,120,19.006983333,0,960,2880,3840,1920,266589453,266591734
ab_clones,6,1,4,1,120,19.011783333,0,960,2880,3840,1920,266592312,266594593
ab_clones,7,0,4,1,120,19.094200000,0,960,2880,3840,0,266595171,266597468
