variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
memory_prime,0,400,5169,27.761075643,0,1638400,210118812,210118953
memory_prime,1,400,7272,26.273789879,0,1638400,210119203,210119390
memory_prime,2,400,4365,27.370446735,0,1638400,210119625,210119750
memory_prime,3,400,5904,40.671070461,0,1638400,210120000,210120250
memory_prime,4,400,4878,39.428659287,0,1638400,210120500,210120687
memory_prime,5,400,6896,27.317140371,0,1638400,210120937,210121125
memory_prime,6,400,6896,27.027697216,0,1638400,210121375,210121562
memory_prime,7,400,5765,38.742584562,0,1638400,210121812,210122031
