test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.277450000,0,1600,300490078,300492843
1,1,1,160,17.183687500,0,1600,300493375,300496125
1,2,1,160,17.216431250,0,1600,300496640,300499390
1,3,0,160,17.372193750,0,1600,300499921,300502703
1,4,0,160,17.430606250,0,1600,300503234,300506015
1,5,1,160,17.276387500,0,1600,300506546,300509312
1,6,1,160,17.227181250,0,1600,300509828,300512593
1,7,0,160,17.467675000,0,1600,300513125,300515921
2,0,0,160,17.442212500,0,1600,300516453,300519234
2,1,2,160,17.302837500,0,1600,300519765,300522531
2,2,2,160,17.340568750,0,1600,300523062,300525828
2,3,0,160,17.498518750,0,1600,300526359,300529156
2,4,0,160,17.499262500,0,1600,300529687,300532484
2,5,2,160,17.357675000,0,1600,300533015,300535796
2,6,2,160,17.313537500,0,1600,300536328,300539093
2,7,0,160,17.509743750,0,1600,300539625,300542437
3,0,0,160,17.509393750,0,1600,300542968,300545765
3,1,3,160,17.365700000,0,1600,300546296,300549078
3,2,3,160,17.341193750,0,1600,300549593,300552375
3,3,0,160,17.497550000,0,1600,300552906,300555703
3,4,0,160,17.501143750,0,1600,300556234,300559046
3,5,3,160,17.396293750,0,1600,300559562,300562343
3,6,3,160,17.382437500,0,1600,300562875,300565656
3,7,0,160,17.520500000,0,1600,300566187,300569000
