stage,slot,tiled,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
wide_row_u2,0,0,400,3020,26.114238411,0,1638400,257187906,257187984
wide_row_u2,1,1,400,12121,27.961636829,0,1638400,257188078,257188421
wide_row_u2,2,1,400,11873,27.917291333,0,1638400,257188500,257188828
wide_row_u2,3,0,400,10666,25.232795800,0,1638400,257188906,257189171
wide_row_u2,4,0,400,13223,25.025032141,0,1638400,257189265,257189593
wide_row_u2,5,1,400,12573,28.032689096,0,1638400,257189687,257190031
wide_row_u2,6,1,400,12549,27.805323133,0,1638400,257190125,257190484
wide_row_u2,7,0,400,12475,25.177955912,0,1638400,257190562,257190875
wide_tile_u2,0,0,400,13502,25.294030514,0,1638400,257190968,257191312
wide_tile_u2,1,1,400,12981,27.167013327,0,1638400,257191406,257191750
wide_tile_u2,2,1,400,12379,27.126908474,0,1638400,257191843,257192171
wide_tile_u2,3,0,400,12598,25.012700429,0,1638400,257192265,257192578
wide_tile_u2,4,0,400,13822,24.987049631,0,1638400,257192671,257193015
wide_tile_u2,5,1,400,12877,27.191426575,0,1638400,257193109,257193453
wide_tile_u2,6,1,400,12331,27.184494364,0,1638400,257193546,257193875
wide_tile_u2,7,0,400,12573,25.074445240,0,1638400,257193968,257194281
tall_row_u2,0,0,400,14065,22.768432279,0,1638400,257194359,257194687
tall_row_u2,1,1,400,14414,23.352435133,0,1638400,257194765,257195109
tall_row_u2,2,1,400,13588,23.377391816,0,1638400,257195187,257195515
tall_row_u2,3,0,400,14035,22.747488422,0,1638400,257195593,257195906
tall_row_u2,4,0,400,15023,22.778073620,0,1638400,257196000,257196343
tall_row_u2,5,1,400,14159,23.370718271,0,1638400,257196437,257196765
tall_row_u2,6,1,400,14578,23.389971189,0,1638400,257196843,257197187
tall_row_u2,7,0,400,14883,22.767184035,0,1638400,257197281,257197625
tall_tile_u2,0,0,400,14479,22.548104151,0,1638400,257197703,257198031
tall_tile_u2,1,1,400,14918,20.461992224,0,1638400,257198125,257198421
tall_tile_u2,2,1,400,14712,20.582993475,0,1638400,257198515,257198812
tall_tile_u2,3,0,400,12075,22.588240166,0,1638400,257198890,257199156
tall_tile_u2,4,0,400,14814,22.691710544,0,1638400,257199250,257199578
tall_tile_u2,5,1,400,14035,20.781047382,0,1638400,257199671,257199953
tall_tile_u2,6,1,400,12307,20.801413830,0,1638400,257200031,257200281
tall_tile_u2,7,0,400,11808,22.625592818,0,1638400,257200359,257200625
pair_u2,0,0,400,12573,25.973355603,0,1638400,257200703,257201031
pair_u2,1,1,400,14128,21.741789354,0,1638400,257201125,257201421
pair_u2,2,1,400,13008,21.750768758,0,1638400,257201500,257201796
pair_u2,3,0,400,13195,26.002349375,0,1638400,257201875,257202218
pair_u2,4,0,400,11490,26.001392515,0,1638400,257202296,257202593
pair_u2,5,1,400,13114,21.756214732,0,1638400,257202671,257202953
pair_u2,6,1,400,11678,21.810241480,0,1638400,257203031,257203281
pair_u2,7,0,400,12598,26.036354977,0,1638400,257203375,257203703
