variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,100,12.780700000,0,0,208379781,208381062
1,1,1,100,12.748110000,0,800,208381578,208382843
1,2,1,100,12.735840000,0,800,208383359,208384640
1,3,0,100,12.827470000,0,0,208385156,208386437
2,0,0,100,12.807910000,0,0,208386953,208388234
2,1,2,100,12.740590000,0,800,208388750,208390031
2,2,2,100,12.748000000,0,800,208390546,208391812
2,3,0,100,12.849640000,0,0,208392328,208393625
4,0,0,100,12.843520000,0,0,208394140,208395421
4,1,4,100,12.861440000,0,500,208395937,208397234
4,2,4,100,12.846750000,0,500,208397750,208399031
4,3,0,100,12.884190000,0,0,208399546,208400843
8,0,0,100,12.875230000,0,0,208401359,208402640
8,1,8,100,12.880220000,0,200,208403171,208404453
8,2,8,100,12.862140000,0,200,208404968,208406265
8,3,0,100,12.890590000,0,0,208406781,208408062
16,0,0,100,12.906670000,0,0,208408593,208409875
16,1,16,100,12.894780000,0,1300,208410406,208411687
16,2,16,100,12.894000000,0,1300,208412218,208413500
16,3,0,100,12.912820000,0,0,208414015,208415312
32,0,0,100,12.926490000,0,0,208415843,208417125
32,1,32,100,12.918990000,0,1400,208417656,208418937
32,2,32,100,12.923530000,0,1400,208419468,208420765
32,3,0,100,12.934320000,0,0,208421281,208422578
64,0,0,100,12.918840000,0,0,208423093,208424390
64,1,64,100,12.946260000,0,800,208424906,208426203
64,2,64,100,12.941570000,0,800,208426734,208428031
64,3,0,100,12.960530000,0,0,208428546,208429843
128,0,0,100,12.965960000,0,0,208430359,208431656
128,1,128,100,12.975840000,0,800,208432187,208433484
128,2,128,100,12.967790000,0,800,208434000,208435296
128,3,0,100,12.967190000,0,0,208435828,208437125
