region,round,slot,cut,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
13,6,0,208,12.451180458,15.202879906,2.751699924,15.473600000
13,6,1,213,14.227959633,15.472060204,1.244099975,15.756100000
13,6,2,213,14.001239777,15.333040237,1.331799984,15.603800000
13,6,3,208,12.311579704,14.983679771,2.672100067,15.475100000
13,7,0,208,12.389820099,15.116620064,2.726799965,15.527000000
13,7,1,213,14.289400101,15.443499565,1.154099941,15.802500000
13,7,2,213,14.016200066,15.317000389,1.300799966,15.598200000
13,7,3,208,12.332880020,15.072979927,2.740099907,15.552300000
13,8,0,208,12.417019844,15.155119896,2.738100052,15.597000000
13,8,1,213,13.771220207,15.052220345,1.281000018,15.463700000
13,8,2,213,13.858380318,15.178779602,1.320400000,15.525700000
13,8,3,208,12.722279549,15.420379639,2.698100090,15.782100000
13,9,0,208,12.473239899,15.197440147,2.724200010,15.471900000
13,9,1,213,13.898960114,15.144559860,1.245599985,15.429400000
13,9,2,213,13.910880089,15.171879768,1.261000037,15.447400000
13,9,3,208,12.514419556,15.215620041,2.701200008,15.474900000
13,10,0,208,12.851860046,15.585459709,2.733599901,15.874000000
13,10,1,213,13.892399788,15.136500359,1.244099975,15.409900000
13,10,2,213,13.895400047,15.143199921,1.247799993,15.422800000
13,10,3,208,12.476260185,15.196260452,2.720000029,15.436200000
13,11,0,208,12.507920265,15.275119781,2.767199993,15.513500000
13,11,1,213,13.889260292,15.487259865,1.598000050,15.737900000
13,11,2,213,13.855879784,15.104880333,1.248999953,15.389200000
13,11,3,208,12.494839668,15.207639694,2.712800026,15.471700000
13,12,0,208,12.530659676,15.251660347,2.720999956,15.564400000
13,12,1,213,14.064539909,15.339440346,1.274899960,15.605800000
13,12,2,213,14.170840263,15.404939651,1.234099984,15.788800000
13,12,3,208,12.635459900,15.415060043,2.779599905,15.696400000
13,13,0,208,12.301639557,15.033140182,2.731499910,15.587900000
13,13,1,213,13.915920258,15.190719604,1.274799943,15.577000000
13,13,2,213,13.642840385,14.903240204,1.260400057,15.376400000
13,13,3,208,12.831520081,15.535519600,2.703999996,15.808300000
13,14,0,208,12.547659874,15.386360168,2.838700056,15.660200000
13,14,1,213,13.907460213,15.152159691,1.244699955,15.562900000
13,14,2,213,13.829999924,15.076899529,1.246899962,15.442700000
13,14,3,208,12.433699608,15.296999931,2.863300085,15.563400000
13,15,0,208,12.418020248,15.539819717,3.121799946,15.913900000
13,15,1,213,13.976679802,15.235280037,1.258599997,15.629600000
13,15,2,213,13.806039810,15.082340240,1.276299953,15.482700000
13,15,3,208,12.512280464,15.111579895,2.599299908,15.390300000
14,0,0,213,13.934100151,15.209799767,1.275699973,15.547600000
14,0,1,214,15.207639694,15.207639694,0.000000000,15.547400000
14,0,2,214,15.237339973,15.237339973,0.000000000,15.609500000
14,0,3,213,14.222780228,15.466779709,1.243999958,15.774200000
14,1,0,213,13.919320107,15.162520409,1.243199944,15.445600000
14,1,1,214,15.274100304,15.274100304,0.000000000,15.660500000
14,1,2,214,15.347640038,15.347640038,0.000000000,15.767300000
14,1,3,213,14.292659760,15.540860176,1.248200059,15.862000000
14,2,0,213,14.028679848,15.279379845,1.250699997,15.566900000
14,2,1,214,15.224760056,15.224760056,0.000000000,15.559400000
14,2,2,214,15.196700096,15.196700096,0.000000000,15.549100000
14,2,3,213,14.084159851,15.335860252,1.251700044,15.621800000
14,3,0,213,14.428099632,15.678099632,1.250000000,15.926500000
14,3,1,214,15.246720314,15.246720314,0.000000000,15.612300000
14,3,2,214,15.291179657,15.291179657,0.000000000,15.699900000
14,3,3,213,13.958459854,15.190360069,1.231899977,15.467400000
14,4,0,213,13.929200172,15.186599731,1.257400036,15.446500000
14,4,1,214,15.232259750,15.232259750,0.000000000,15.573500000
14,4,2,214,15.451199532,15.451199532,0.000000000,15.869100000
14,4,3,213,13.926580429,15.175580025,1.248999953,15.465700000
14,5,0,213,14.142820358,15.294819832,1.151999950,15.578900000
14,5,1,214,15.230019569,15.230019569,0.000000000,15.568600000
14,5,2,214,15.157979965,15.157979965,0.000000000,15.503600000
