variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
contract_roll,0,400,3624,23.932119205,0,1638400,207186093,207186171
contract_roll,1,400,2895,67.528151986,0,1638400,207186234,207186421
contract_roll,2,400,2780,67.514388489,0,1638400,207186468,207186656
contract_roll,3,400,6911,24.500361742,0,1638400,207186703,207186875
contract_roll,4,400,7032,24.896188851,0,1638400,207186921,207187093
contract_roll,5,400,2831,67.609325327,0,1638400,207187140,207187343
contract_roll,6,400,2704,66.847633136,0,1638400,207187390,207187562
contract_roll,7,400,6708,24.786076327,0,1638400,207187609,207187781
