test,slot,mode,marked,frames,wall_ms,segment_ms,bitdiff,replacements,start_ms,end_ms
plain_ab,0,0,0,160,17.803750000,0.000000000,0,0,259763796,259766656
plain_ab,1,1,0,160,17.838512500,0.000000000,0,2560,259767187,259770046
plain_ab,2,1,0,160,17.855137500,0.000000000,0,2560,259770593,259773437
plain_ab,3,0,0,160,17.866181250,0.000000000,0,0,259773984,259776843
plain_ab,4,0,0,160,17.876037500,0.000000000,0,0,259777390,259780250
plain_ab,5,1,0,160,17.870068750,0.000000000,0,2560,259780796,259783656
plain_ab,6,1,0,160,17.896931250,0.000000000,0,2560,259784203,259787062
plain_ab,7,0,0,160,17.930412500,0.000000000,0,0,259787609,259790484
marked_ab,0,0,1,160,18.032093750,2.053503247,0,0,259791015,259793906
marked_ab,1,1,1,160,18.054581250,2.048098997,0,2560,259794453,259797343
marked_ab,2,1,1,160,18.054450000,2.050188369,0,2560,259797890,259800781
marked_ab,3,0,1,160,18.052418750,2.053033874,0,0,259801328,259804218
marked_ab,4,0,1,160,18.046075000,2.047339001,0,0,259804765,259807656
marked_ab,5,1,1,160,18.040650000,2.048781635,0,2560,259808203,259811093
marked_ab,6,1,1,160,18.054725000,2.058589629,0,2560,259811640,259814531
marked_ab,7,0,1,160,18.097206250,2.053045759,0,0,259815078,259817968
marker_base,0,0,0,160,18.070506250,0.000000000,0,0,259818515,259821406
marker_base,1,0,1,160,18.134193750,2.063068125,0,0,259821953,259824859
marker_base,2,0,1,160,18.204562500,2.061535871,0,0,259825406,259828328
marker_base,3,0,0,160,18.122237500,0.000000000,0,0,259828875,259831781
marker_base,4,0,0,160,18.139700000,0.000000000,0,0,259832328,259835234
marker_base,5,0,1,160,18.179993750,2.060674997,0,0,259835781,259838687
marker_base,6,0,1,160,18.200931250,2.068168992,0,0,259839250,259842156
marker_base,7,0,0,160,18.106368750,0.000000000,0,0,259842703,259845609
marker_candidate,0,1,0,160,18.088356250,0.000000000,0,2560,259846156,259849046
marker_candidate,1,1,1,160,18.207062500,2.058102752,0,2560,259849609,259852515
marker_candidate,2,1,1,160,18.177418750,2.058683503,0,2560,259853062,259855984
marker_candidate,3,1,0,160,18.084431250,0.000000000,0,2560,259856531,259859421
marker_candidate,4,1,0,160,18.070275000,0.000000000,0,2560,259859968,259862859
marker_candidate,5,1,1,160,18.186543750,2.067927627,0,2560,259863421,259866328
marker_candidate,6,1,1,160,18.143768750,2.062560629,0,2560,259866875,259869781
marker_candidate,7,1,0,160,18.107800000,0.000000000,0,2560,259870328,259873234
