test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
chains4_8,2,resident8,8,0,0,640,16,20672,16.640528251,322.628527117,0,272909531,272909875
chains4_8,3,resident4,4,0,0,640,16,20450,16.219755501,330.998153431,0,272909953,272910296
chains4_8,4,resident4,4,0,0,640,16,21846,16.222832555,330.935371597,0,272910390,272910734
chains4_8,5,resident8,8,0,0,640,16,19981,16.649917422,322.446591420,0,272910828,272911156
chains4_8,6,resident8,8,0,0,640,16,20834,16.642459441,322.591089312,0,272911250,272911593
chains4_8,7,resident4,4,0,0,640,16,21165,16.214788566,331.099545217,0,272911687,272912031
chains4_16,0,resident4,4,0,0,640,16,20715,16.229640357,330.796555058,0,272912125,272912453
chains4_16,1,resident16,16,0,0,640,16,6582,60.655727742,88.511164895,0,272912578,272912968
chains4_16,2,resident16,16,0,0,640,16,5694,59.599227257,90.080180014,0,272913078,272913406
chains4_16,3,resident4,4,0,0,640,16,21646,16.209276541,331.212136860,0,272913500,272913859
chains4_16,4,resident4,4,0,0,640,16,20888,16.225631942,330.878275759,0,272913953,272914281
chains4_16,5,resident16,16,0,0,640,16,5755,59.815291051,89.754793894,0,272914390,272914734
chains4_16,6,resident16,16,0,0,640,16,7145,59.854863541,89.695453342,0,272914843,272915281
chains4_16,7,resident4,4,0,0,640,16,19362,16.243208346,330.520239940,0,272915359,272915671
