region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
12,3,0,219,198604265,198604281,9.497819901,12.583419800,3.085599899,12.822000000
12,3,1,228,198604281,198604296,10.314100266,12.742500305,2.428400040,12.869000000
12,3,2,228,198604296,198604312,10.360580444,12.712180138,2.351599932,12.892000000
12,3,3,219,198604312,198604312,9.448940277,12.617039680,3.168100119,12.886000000
12,4,0,219,198604312,198604328,9.492039680,12.697939873,3.205899954,12.818000000
12,4,1,228,198604328,198604343,10.330140114,12.678939819,2.348799944,12.807000000
12,4,2,228,198604343,198604359,10.312159538,12.763159752,2.450999975,12.901000000
12,4,3,219,198604359,198604375,9.457320213,12.700180054,3.242860079,12.955000000
12,5,0,219,198604375,198604390,9.595879555,12.752380371,3.156500101,12.993000000
12,5,1,228,198604390,198604390,10.424559593,12.716360092,2.291800022,12.925000000
12,5,2,228,198604390,198604406,10.397500038,12.622799873,2.225300074,12.848000000
12,5,3,219,198604406,198604421,9.543680191,12.808380127,3.264699936,12.960000000
12,6,0,219,198604421,198604437,9.493080139,12.596579552,3.103499889,12.836000000
12,6,1,228,198604437,198604453,10.205519676,12.569919586,2.364399910,12.775000000
12,6,2,228,198604453,198604468,10.377099991,12.756099701,2.378999949,12.970000000
12,6,3,219,198604468,198604468,9.427240372,12.529540062,3.102299929,12.788000000
12,7,0,219,198604468,198604484,9.583439827,12.680740356,3.097300053,12.884000000
12,7,1,228,198604484,198604500,10.245960236,12.692660332,2.446700096,12.932000000
12,7,2,228,198604500,198604515,10.296299934,12.565999985,2.269700050,12.805000000
12,7,3,219,198604515,198604531,9.448320389,12.715820312,3.267499924,12.948000000
13,0,0,228,198604640,198604640,10.235119820,12.572420120,2.337300062,12.781000000
13,0,1,233,198604640,198604656,11.546799660,12.682900429,1.136100054,12.811000000
13,0,2,233,198604656,198604671,11.642560005,12.796560287,1.154000044,12.916000000
13,0,3,228,198604671,198604687,10.356539726,12.684539795,2.328000069,12.818000000
13,1,0,228,198604687,198604703,10.338100433,12.691499710,2.353399992,12.810000000
13,1,1,233,198604703,198604718,11.505180359,12.639880180,1.134699941,12.764000000
