variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
control,0,400,13250,25.620679245,0,1638400,254903984,254904328
control,1,400,14253,25.051638252,0,1638400,254904421,254904765
control,2,400,13223,24.875671179,0,1638400,254904859,254905187
control,3,400,13675,24.914223035,0,1638400,254905281,254905609
control,4,400,14712,24.997824905,0,1638400,254905703,254906078
control,5,400,14382,24.935961619,0,1638400,254906171,254906531
control,6,400,12030,24.826766417,0,1638400,254906593,254906890
control,7,400,13913,25.030259470,0,1638400,254906984,254907328
m32n32_u4,0,400,12007,25.072541018,0,1638400,254907406,254907718
m32n32_u4,1,400,9538,31.183162088,0,1638400,254907781,254908093
m32n32_u4,2,400,9090,31.106930693,0,1638400,254908156,254908437
m32n32_u4,3,400,14159,24.981566495,0,1638400,254908531,254908890
m32n32_u4,4,400,12929,25.048727666,0,1638400,254908968,254909296
m32n32_u4,5,400,11267,31.121416526,0,1638400,254909375,254909734
m32n32_u4,6,400,11428,31.436296815,0,1638400,254909828,254910187
m32n32_u4,7,400,13473,24.963630966,0,1638400,254910265,254910609
m32n32_u1,0,400,13333,24.971799295,0,1638400,254910687,254911015
m32n32_u1,1,400,7009,51.403481238,0,1638400,254911109,254911468
m32n32_u1,2,400,7174,51.963758015,0,1638400,254911562,254911937
m32n32_u1,3,400,12524,25.238502076,0,1638400,254912015,254912343
m32n32_u1,4,400,14128,24.960008494,0,1638400,254912421,254912781
m32n32_u1,5,400,7223,54.112003323,0,1638400,254912875,254913265
m32n32_u1,6,400,6708,52.467948718,0,1638400,254913359,254913703
m32n32_u1,7,400,10940,25.121846435,0,1638400,254913781,254914062
m32n32_col,0,400,13361,25.149015792,0,1638400,254914140,254914484
m32n32_col,1,400,11657,30.291841812,0,1638400,254914562,254914921
m32n32_col,2,400,12098,30.304513143,0,1638400,254915015,254915375
m32n32_col,3,400,13008,25.046279213,0,1638400,254915468,254915781
m32n32_col,4,400,14253,25.062092191,0,1638400,254915875,254916234
m32n32_col,5,400,12379,30.204136037,0,1638400,254916328,254916703
m32n32_col,6,400,11808,30.320714770,0,1638400,254916796,254917156
m32n32_col,7,400,12981,25.055927895,0,1638400,254917234,254917562
