repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,3,0,0,200,15.325871000,2600,0
0,3,1,3,200,15.587138500,2600,2600
0,3,2,3,200,15.580182000,2600,2600
0,3,3,0,200,15.327074000,2600,0
0,4,0,0,200,15.341452000,2600,0
0,4,1,4,200,15.671891500,2600,2600
0,4,2,4,200,15.694250000,2600,2600
0,4,3,0,200,15.360489500,2600,0
1,3,0,0,200,15.368265000,2600,0
1,3,1,3,200,15.629015000,2600,2600
1,3,2,3,200,15.616685000,2600,2600
1,3,3,0,200,15.384442000,2600,0
1,4,0,0,200,15.400181000,2600,0
1,4,1,4,200,15.734924000,2600,2600
1,4,2,4,200,15.730145000,2600,2600
1,4,3,0,200,15.406348500,2600,0
