test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.336175000,0,1600,298198265,298201031
1,1,1,160,17.414318750,0,1600,298201562,298204359
1,2,1,160,17.451625000,0,1600,298204890,298207671
1,3,0,160,17.422537500,0,1600,298208203,298211000
1,4,0,160,17.433743750,0,1600,298211531,298214312
1,5,1,160,17.514512500,0,1600,298214843,298217656
1,6,1,160,17.511568750,0,1600,298218187,298220984
1,7,0,160,17.458862500,0,1600,298221515,298224312
2,0,0,160,17.451393750,0,1600,298224843,298227625
2,1,2,160,17.422956250,0,1600,298228156,298230953
2,2,2,160,17.446731250,0,1600,298231484,298234265
2,3,0,160,17.486087500,0,1600,298234796,298237593
2,4,0,160,17.516006250,0,1600,298238125,298240937
2,5,2,160,17.466437500,0,1600,298241468,298244265
2,6,2,160,17.473662500,0,1600,298244796,298247593
2,7,0,160,17.517943750,0,1600,298248125,298250921
3,0,0,160,17.521175000,0,1600,298251453,298254265
3,1,3,160,17.482287500,0,1600,298254796,298257593
3,2,3,160,17.492781250,0,1600,298258125,298260921
3,3,0,160,17.531306250,0,1600,298261453,298264250
3,4,0,160,17.540931250,0,1600,298264796,298267593
3,5,3,160,17.499781250,0,1600,298268125,298270937
3,6,3,160,17.508956250,0,1600,298271468,298274265
3,7,0,160,17.559193750,0,1600,298274796,298277609
