phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,554,369.227436823,0,36179968
ffn,0,1,0,1,483,402.623188406,0,36179968
ffn,0,2,0,1,503,398.429423459,0,36179968
ffn,0,3,1,1,584,381.614726027,0,36179968
ffn,1,0,0,1,536,400.447761194,0,36179968
ffn,1,1,0,2,471,459.645435244,0,36179968
ffn,1,2,0,2,475,459.204210526,0,36179968
ffn,1,3,0,1,550,398.816363636,0,36179968
ffn,2,0,0,1,545,400.306422018,0,36179968
ffn,2,1,0,4,357,579.372549020,0,36179968
ffn,2,2,0,4,361,579.634349030,0,36179968
ffn,2,3,0,1,471,398.341825902,0,36179968
pack,0,0,1,1,509,384.208251473,0,36179968
pack,0,1,0,1,435,436.301149425,0,36179968
pack,0,2,0,1,438,437.148401826,0,36179968
pack,0,3,1,1,529,379.907372401,0,36179968
pack,1,0,0,1,439,440.120728929,0,36179968
pack,1,1,0,2,342,540.274853801,0,36179968
pack,1,2,0,2,352,540.187500000,0,36179968
pack,1,3,0,1,475,439.587368421,0,36179968
pack,2,0,0,1,445,436.022471910,0,36179968
pack,2,1,0,4,292,753.763698630,0,36179968
pack,2,2,0,4,294,751.714285714,0,36179968
pack,2,3,0,1,496,438.750000000,0,36179968
qkv,0,0,1,1,577,383.681109185,0,36179968
qkv,0,1,0,1,516,374.393410853,0,36179968
qkv,0,2,0,1,523,375.158699809,0,36179968
qkv,0,3,1,1,547,382.493601463,0,36179968
qkv,1,0,0,1,570,376.600000000,0,36179968
qkv,1,1,0,2,500,392.678000000,0,36179968
qkv,1,2,0,2,538,393.280669145,0,36179968
qkv,1,3,0,1,565,376.697345133,0,36179968
qkv,2,0,0,1,544,373.411764706,0,36179968
qkv,2,1,0,4,486,431.561728395,0,36179968
qkv,2,2,0,4,492,434.920731707,0,36179968
qkv,2,3,0,1,573,376.656195462,0,36179968
scores,0,0,1,1,536,384.039179104,0,36179968
scores,0,1,0,1,553,392.157323689,0,36179968
scores,0,2,0,1,567,390.945326279,0,36179968
scores,0,3,1,1,536,369.548507463,0,36179968
scores,1,0,0,1,514,375.587548638,0,36179968
scores,1,1,0,2,490,414.948979592,0,36179968
scores,1,2,0,2,451,414.889135255,0,36179968
scores,1,3,0,1,514,375.803501946,0,36179968
scores,2,0,0,1,494,375.491902834,0,36179968
scores,2,1,0,4,435,488.133333333,0,36179968
scores,2,2,0,4,431,487.990719258,0,36179968
scores,2,3,0,1,509,376.263261297,0,36179968
norm,0,0,1,1,507,367.928994083,0,36179968
norm,0,1,0,1,556,367.679856115,0,36179968
norm,0,2,0,1,555,367.154954955,0,36179968
norm,0,3,1,1,552,367.775362319,0,36179968
norm,1,0,0,1,512,367.134765625,0,36179968
norm,1,1,0,2,479,436.302713987,0,36179968
norm,1,2,0,2,471,436.337579618,0,36179968
norm,1,3,0,1,537,367.329608939,0,36179968
norm,2,0,0,1,562,367.160142349,0,36179968
norm,2,1,0,4,347,604.357348703,0,36179968
norm,2,2,0,4,345,603.820289855,0,36179968
norm,2,3,0,1,547,367.303473492,0,36179968
av,0,0,1,1,526,367.914448669,0,36179968
av,0,1,0,1,503,369.562624254,0,36179968
av,0,2,0,1,533,369.780487805,0,36179968
av,0,3,1,1,560,368.005357143,0,36179968
av,1,0,0,1,511,369.784735812,0,36179968
av,1,1,0,2,521,391.629558541,0,36179968
av,1,2,0,2,538,391.421933086,0,36179968
av,1,3,0,1,571,369.586690018,0,36179968
av,2,0,0,1,573,369.472949389,0,36179968
av,2,1,0,4,487,432.646817248,0,36179968
av,2,2,0,4,448,433.589285714,0,36179968
av,2,3,0,1,570,369.342105263,0,36179968
project,0,0,1,1,563,368.326820604,0,36179968
project,0,1,0,1,579,362.006908463,0,36179968
project,0,2,0,1,541,362.218114603,0,36179968
project,0,3,1,1,564,368.232269504,0,36179968
project,1,0,0,1,518,361.851351351,0,36179968
project,1,1,0,2,513,384.206627680,0,36179968
project,1,2,0,2,517,383.885880077,0,36179968
project,1,3,0,1,565,361.646017699,0,36179968
project,2,0,0,1,538,361.775092937,0,36179968
project,2,1,0,4,461,427.976138829,0,36179968
project,2,2,0,4,451,428.181818182,0,36179968
project,2,3,0,1,531,362.090395480,0,36179968
