repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,1,0,0,200,16.583295000,800,0
0,1,1,1,200,16.545285000,800,800
0,1,2,1,200,16.552385000,800,800
0,1,3,0,200,16.645005000,800,0
1,1,0,0,200,16.660605000,800,0
1,1,1,1,200,16.570050000,800,800
1,1,2,1,200,16.568480000,800,800
1,1,3,0,200,16.688765000,800,0
2,1,0,0,200,16.658885000,800,0
2,1,1,1,200,16.588275000,800,800
2,1,2,1,200,16.613645000,800,800
2,1,3,0,200,16.706475000,800,0
