config,height,run,bad,frames
pdl1,900,1,0,
pdl0,900,1,0,
pdl1,900,2,0,
pdl0,900,2,0,
pdl1,900,3,0,
pdl0,900,3,0,
pdl1,900,4,0,
pdl0,900,4,0,
pdl1,900,5,0,
pdl0,900,5,0,
pdl1,900,6,0,
pdl0,900,6,0,
pdl1,900,7,0,
pdl0,900,7,0,
pdl1,900,8,0,
pdl0,900,8,0,
pdl1,900,9,0,
pdl0,900,9,0,
pdl1,900,10,0,
pdl0,900,10,0,
pdl1,900,11,0,
pdl0,900,11,0,
pdl1,900,12,0,
pdl0,900,12,0,
pdl1,900,13,0,
pdl0,900,13,0,
pdl1,900,14,0,
pdl0,900,14,0,
pdl1,900,15,0,
pdl0,900,15,0,
pdl1,900,16,0,
pdl0,900,16,0,
pdl1,900,17,0,
pdl0,900,17,0,
pdl1,900,18,0,
pdl0,900,18,0,
pdl1,900,19,0,
pdl0,900,19,0,
pdl1,900,20,0,
pdl0,900,20,0,
pdl1,900,21,0,
pdl0,900,21,0,
pdl1,900,22,0,
pdl0,900,22,0,
pdl1,900,23,0,
pdl0,900,23,0,
pdl1,900,24,0,
pdl0,900,24,0,
pdl1,900,25,0,
pdl0,900,25,0,
pdl1,900,26,0,
pdl0,900,26,0,
pdl1,900,27,0,
pdl0,900,27,0,
pdl1,900,28,0,
pdl0,900,28,0,
pdl1,900,29,0,
pdl0,900,29,0,
pdl1,900,30,0,
pdl0,900,30,0,
pdl1,900,31,0,
pdl0,900,31,0,
pdl1,900,32,0,
pdl0,900,32,0,
pdl1,900,33,0,
pdl0,900,33,0,
pdl1,900,34,0,
pdl0,900,34,0,
pdl1,900,35,0,
pdl0,900,35,0,
pdl1,900,36,0,
pdl0,900,36,0,
pdl1,900,37,0,
pdl0,900,37,0,
pdl1,900,38,0,
pdl0,900,38,0,
pdl1,900,39,0,
pdl0,900,39,0,
pdl1,900,40,0,
pdl0,900,40,0,
pdl1,900,41,0,
pdl0,900,41,0,
pdl1,900,42,0,
pdl0,900,42,0,
pdl1,900,43,0,
pdl0,900,43,0,
pdl1,900,44,0,
pdl0,900,44,0,
pdl1,900,45,0,
pdl0,900,45,0,
pdl1,900,46,0,
pdl0,900,46,0,
pdl1,900,47,0,
pdl0,900,47,0,
pdl1,900,48,0,
pdl0,900,48,0,
pdl1,900,49,0,
pdl0,900,49,0,
pdl1,900,50,0,
pdl0,900,50,0,
