test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.822362500,0,1600,270929500,270932343
1,1,1,160,17.874618750,0,1600,270932890,270935750
1,2,1,160,17.901031250,0,1600,270936296,270939156
1,3,0,160,17.908443750,0,1600,270939703,270942578
1,4,0,160,17.944612500,0,1600,270943125,270945984
1,5,1,160,17.982937500,0,1600,270946531,270949406
1,6,1,160,17.974525000,0,1600,270949953,270952843
1,7,0,160,17.971375000,0,1600,270953390,270956265
2,0,0,160,17.978187500,0,1600,270956812,270959687
2,1,2,160,18.008318750,0,1600,270960234,270963109
2,2,2,160,18.070268750,0,1600,270963656,270966546
2,3,0,160,18.034975000,0,1600,270967093,270969984
2,4,0,160,18.036406250,0,1600,270970531,270973421
2,5,2,160,18.076837500,0,1600,270973968,270976859
2,6,2,160,18.060406250,0,1600,270977406,270980296
2,7,0,160,18.054181250,0,1600,270980843,270983734
3,0,0,160,18.059593750,0,1600,270984296,270987171
3,1,3,160,18.094393750,0,1600,270987734,270990625
3,2,3,160,18.102881250,0,1600,270991171,270994078
3,3,0,160,18.053537500,0,1600,270994625,270997515
3,4,0,160,18.076731250,0,1600,270998062,271000953
3,5,3,160,18.143387500,0,1600,271001500,271004406
3,6,3,160,18.125712500,0,1600,271004953,271007859
3,7,0,160,18.128256250,0,1600,271008406,271011312
