test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,16.975025000,0,0,218,334063031,334065750
1,1,1,160,16.751237500,0,34880,218,334066250,334068937
1,2,1,160,16.765493750,0,34880,218,334069453,334072140
1,3,0,160,17.058556250,0,0,218,334072640,334075375
1,4,0,160,17.061793750,0,0,218,334075890,334078625
1,5,1,160,16.785887500,0,34880,218,334079140,334081812
1,6,1,160,16.796700000,0,34880,218,334082328,334085015
1,7,0,160,17.113662500,0,0,218,334085531,334088281
2,0,0,160,17.121556250,0,0,218,334088796,334091531
2,1,2,160,16.871450000,0,34880,218,334092046,334094750
2,2,2,160,16.869581250,0,34880,218,334095265,334097968
2,3,0,160,17.145637500,0,0,218,334098484,334101218
2,4,0,160,17.163331250,0,0,218,334101734,334104484
2,5,2,160,16.908156250,0,34880,218,334105000,334107718
2,6,2,160,16.909337500,0,34880,218,334108234,334110937
2,7,0,160,17.189056250,0,0,218,334111453,334114203
3,0,0,160,17.174025000,0,0,218,334114718,334117468
3,1,3,160,16.878343750,0,34880,218,334117984,334120687
3,2,3,160,16.893987500,0,34880,218,334121203,334123906
3,3,0,160,17.204318750,0,0,218,334124421,334127171
3,4,0,160,17.197506250,0,0,218,334127703,334130453
3,5,3,160,16.895550000,0,34880,218,334130968,334133671
3,6,3,160,16.909100000,0,34880,218,334134187,334136890
3,7,0,160,17.198837500,0,0,218,334137421,334140171
