repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,1,0,0,40,11.497900000,160,0
0,1,1,1,40,11.476900000,160,160
0,1,2,1,40,11.517000000,160,160
0,1,3,0,40,11.609300000,160,0
