test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.098431250,0,1600,327116265,327118203
1,1,1,160,12.046868750,0,1600,327118562,327120500
1,2,1,160,12.078387500,0,1600,327120859,327122796
1,3,0,160,12.136431250,0,1600,327123156,327125109
1,4,0,160,12.135412500,0,1600,327125468,327127421
1,5,1,160,12.081693750,0,1600,327127781,327129718
1,6,1,160,12.094718750,0,1600,327130093,327132015
1,7,0,160,12.163462500,0,1600,327132390,327134343
2,0,0,160,12.156862500,0,1600,327134703,327136656
2,1,2,160,12.081393750,0,1600,327137015,327138953
2,2,2,160,12.110637500,0,1600,327139328,327141265
2,3,0,160,12.166993750,0,1600,327141625,327143578
2,4,0,160,12.145406250,0,1600,327143953,327145890
2,5,2,160,12.091412500,0,1600,327146250,327148187
2,6,2,160,12.096162500,0,1600,327148562,327150500
2,7,0,160,12.153712500,0,1600,327150859,327152812
3,0,0,160,12.176481250,0,1600,327153187,327155125
3,1,3,160,12.117118750,0,1600,327155500,327157437
3,2,3,160,12.124437500,0,1600,327157812,327159750
3,3,0,160,12.199562500,0,1600,327160109,327162062
3,4,0,160,12.148468750,0,1600,327162437,327164390
3,5,3,160,12.113431250,0,1600,327164750,327166687
3,6,3,160,12.098756250,0,1600,327167062,327169000
3,7,0,160,12.170200000,0,1600,327169359,327171312
