repeat,slot,mode,frames,ms,target_calls,replaced
0,0,0,200,10.713816000,2600,0
0,1,1,200,10.723624000,2600,2600
0,2,1,200,10.726881500,2600,2600
0,3,0,200,10.769636500,2600,0
1,0,0,200,10.778009000,2600,0
1,1,1,200,10.767259500,2600,2600
1,2,1,200,10.759669000,2600,2600
1,3,0,200,10.792776500,2600,0
2,0,0,200,10.800850000,2600,0
2,1,1,200,10.792107500,2600,2600
2,2,1,200,10.803733000,2600,2600
2,3,0,200,10.819866000,2600,0
