repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,7,0,0,200,16.682940000,7200,0
0,7,1,7,200,16.084275000,7200,7200
0,7,2,7,200,16.043390000,7200,7200
0,7,3,0,200,16.750730000,7200,0
1,7,0,0,200,16.775245000,7200,0
1,7,1,7,200,16.096970000,7200,7200
1,7,2,7,200,16.098635000,7200,7200
1,7,3,0,200,16.776180000,7200,0
2,7,0,0,200,16.768000000,7200,0
2,7,1,7,200,16.089860000,7200,7200
2,7,2,7,200,16.079055000,7200,7200
2,7,3,0,200,16.774635000,7200,0
