variant,slot,tokens,launches,mean_us,output_diff,checked_bytes,start_ms,end_ms
work1,0,400,12598,31.377917130,0,1638400,213953015,213953406
work1,1,400,7911,29.215522690,0,1638400,213953468,213953703
work1,2,400,12774,34.932675748,0,1638400,213953812,213954250
work1,3,400,12698,40.734997637,0,1638400,213954375,213954890
work1,4,400,8030,35.767995019,0,1638400,213954953,213955250
work1,5,400,7748,32.732834280,0,1638400,213955312,213955562
work1,6,400,5658,33.780487805,0,1638400,213955609,213955812
work1,7,400,12075,32.766873706,0,1638400,213955906,213956296
work2,0,400,9302,35.500000000,0,1638400,213956390,213956718
work2,1,400,6142,85.204982091,0,1638400,213956843,213957375
work2,2,400,7199,81.763161550,0,1638400,213957500,213958093
work2,3,400,11918,35.258684343,0,1638400,213958187,213958609
work2,4,400,9831,34.335978029,0,1638400,213958703,213959031
work2,5,400,8290,81.848250905,0,1638400,213959203,213959890
work2,6,400,2503,82.347982421,0,1638400,213959921,213960125
work2,7,400,6611,33.613825442,0,1638400,213960187,213960406
work4,0,400,11721,34.775104513,0,1638400,213960500,213960906
work4,1,400,4545,96.945654565,0,1638400,213961031,213961468
work4,2,400,3248,95.421798030,0,1638400,213961562,213961875
work4,3,400,12284,36.439596223,0,1638400,213961984,213962421
work4,4,400,6866,35.640401981,0,1638400,213962484,213962718
work4,5,400,4286,102.028231451,0,1638400,213962828,213963265
work4,6,400,5512,96.310413643,0,1638400,213963406,213963937
work4,7,400,13445,36.047526962,0,1638400,213964062,213964546
work8,0,400,5369,34.683367480,0,1638400,213964593,213964765
work8,1,400,3090,147.866666667,0,1638400,213964890,213965343
work8,2,400,2807,142.253651585,0,1638400,213965453,213965859
work8,3,400,9800,36.590714286,0,1638400,213965953,213966312
work8,4,400,7381,34.225172741,0,1638400,213966375,213966625
work8,5,400,3336,145.545263789,0,1638400,213966750,213967234
work8,6,400,2882,149.808813324,0,1638400,213967343,213967781
work8,7,400,11786,35.257678602,0,1638400,213967875,213968296
control2,0,400,12121,35.259137035,0,1638400,213968406,213968828
control2,1,400,12403,32.946625816,0,1638400,213968937,213969359
control2,2,400,12121,36.195445920,0,1638400,213969453,213969890
control2,3,400,8311,36.246179762,0,1638400,213969968,213970265
control2,4,400,7766,36.347025496,0,1638400,213970343,213970625
control2,5,400,6964,36.690120620,0,1638400,213970687,213970937
control2,6,400,12144,34.516633729,0,1638400,213971031,213971453
control2,7,400,5095,34.482041217,0,1638400,213971500,213971671
control4,0,400,12007,38.195552594,0,1638400,213971765,213972218
control4,1,400,6918,39.679965308,0,1638400,213972281,213972562
control4,2,400,10596,39.026896942,0,1638400,213972656,213973078
control4,3,400,8300,39.531566265,0,1638400,213973156,213973484
control4,4,400,10561,39.163052741,0,1638400,213973578,213974000
control4,5,400,12052,35.579322934,0,1638400,213974109,213974546
control4,6,400,11594,34.916077281,0,1638400,213974640,213975046
control4,7,400,7664,36.648877871,0,1638400,213975109,213975390
control8,0,400,10561,33.739702680,0,1638400,213975484,213975843
control8,1,400,5128,35.931162246,0,1638400,213975890,213976078
control8,2,400,10389,36.763211089,0,1638400,213976171,213976546
control8,3,400,8111,37.215879670,0,1638400,213976625,213976921
control8,4,400,9315,38.200214707,0,1638400,213977015,213977375
control8,5,400,8791,37.094073484,0,1638400,213977453,213977781
control8,6,400,12121,35.949014108,0,1638400,213977890,213978328
control8,7,400,9397,36.281792061,0,1638400,213978421,213978765
