test,slot,kernel,chains,astride,bstride,tokens,rounds,launches,mean_us,tflops,bitdiff,start_ms,end_ms
chains4_8,2,resident8,8,0,0,400,16,29521,11.389011212,294.621116569,0,272705000,272705328
chains4_8,3,resident4,4,0,0,400,16,24768,11.104731912,302.163368422,0,272705406,272705687
chains4_8,4,resident4,4,0,0,400,16,30722,11.093646247,302.465314406,0,272705781,272706109
chains4_8,5,resident8,8,0,0,400,16,26526,11.393500716,294.505023834,0,272706187,272706500
chains4_8,6,resident8,8,0,0,400,16,24025,11.385764828,294.705120877,0,272706578,272706843
chains4_8,7,resident4,4,0,0,400,16,29785,11.099043143,302.318241033,0,272706937,272707265
chains4_16,0,resident4,4,0,0,400,16,29456,11.102220261,302.231726736,0,272707343,272707671
chains4_16,1,resident16,16,0,0,400,16,12020,15.231364393,220.298268329,0,272707734,272707906
chains4_16,2,resident16,16,0,0,400,16,26991,15.170908821,221.176149662,0,272708015,272708421
chains4_16,3,resident4,4,0,0,400,16,29305,11.091451971,302.525152602,0,272708515,272708843
chains4_16,4,resident4,4,0,0,400,16,29963,11.099355872,302.309723071,0,272708921,272709265
chains4_16,5,resident16,16,0,0,400,16,23796,15.134392335,221.709806761,0,272709359,272709718
chains4_16,6,resident16,16,0,0,400,16,25365,15.092726198,222.321875855,0,272709828,272710203
chains4_16,7,resident4,4,0,0,400,16,28410,11.103871876,302.186772095,0,272710281,272710609
