region,round,slot,cut,start_tick,end_tick,prefix_ms,gpu_frame_ms,tail_ms,wall_ms
0,0,0,0,198982812,198982828,0.000000000,12.153800011,12.153800011,12.865000000
0,0,1,1,198982828,198982828,1.201820016,12.526419640,11.324600220,12.981000000
0,0,2,1,198982828,198982843,1.054399967,12.432200432,11.377799988,12.794000000
0,0,3,0,198982843,198982859,0.000000000,12.538579941,12.538579941,12.903000000
0,1,0,0,198982859,198982875,0.000000000,12.490300179,12.490300179,12.840000000
0,1,1,1,198982875,198982890,1.110399961,12.518199921,11.407799721,12.822000000
0,1,2,1,198982890,198982906,1.098919988,12.304320335,11.205400467,12.695000000
0,1,3,0,198982906,198982906,0.000000000,12.594679832,12.594679832,12.895000000
0,2,0,0,198982906,198982921,0.000000000,12.707400322,12.707400322,13.035000000
0,2,1,1,198982921,198982937,1.085240006,12.386940002,11.301699638,12.753000000
0,2,2,1,198982937,198982953,1.163339972,12.376540184,11.213199615,12.715000000
0,2,3,0,198982953,198982968,0.000000000,12.548259735,12.548259735,12.869000000
0,3,0,0,198982968,198982984,0.000000000,12.630760193,12.630760193,13.007000000
0,3,1,1,198982984,198982984,1.070760012,12.323060036,11.252300262,12.691000000
0,3,2,1,198982984,198983000,1.105080009,12.517680168,11.412599564,12.850000000
0,3,3,0,198983000,198983015,0.000000000,12.541219711,12.541219711,12.891000000
0,4,0,0,198983015,198983031,0.000000000,12.644379616,12.644379616,12.973000000
0,4,1,1,198983031,198983046,1.065580010,12.355480194,11.289899826,12.644000000
0,4,2,1,198983046,198983046,1.127900004,12.426600456,11.298700333,12.676000000
0,4,3,0,198983046,198983062,0.000000000,12.658780098,12.658780098,12.921000000
0,5,0,0,198983062,198983078,0.000000000,12.588020325,12.588020325,12.829000000
0,5,1,1,198983078,198983093,1.117660046,12.416259766,11.298600197,12.690000000
0,5,2,1,198983093,198983109,1.222720027,12.536620140,11.313899994,12.896000000
0,5,3,0,198983109,198983125,0.000000000,12.703060150,12.703060150,13.064000000
0,6,0,0,198983125,198983125,0.000000000,12.615579605,12.615579605,12.966000000
0,6,1,1,198983125,198983140,1.062880039,12.291279793,11.228400230,12.672000000
0,6,2,1,198983140,198983156,1.175760031,12.458559990,11.282799721,12.760000000
0,6,3,0,198983156,198983171,0.000000000,12.701160431,12.701160431,13.043000000
0,7,0,0,198983171,198983187,0.000000000,12.543560028,12.543560028,12.916000000
0,7,1,1,198983187,198983203,1.124420047,12.516920090,11.392499924,12.794000000
0,7,2,1,198983203,198983203,1.195459962,12.365159988,11.169699669,12.750000000
0,7,3,0,198983203,198983218,0.000000000,12.725859642,12.725859642,13.043000000
1,0,0,1,198983328,198983343,1.103099942,12.467200279,11.364100456,12.876000000
1,0,1,5,198983343,198983359,2.163399935,12.406700134,10.243300438,12.759000000
1,0,2,5,198983359,198983375,2.135040045,12.418239594,10.283200264,12.771000000
1,0,3,1,198983375,198983375,1.015480042,12.346579552,11.331100464,12.712000000
1,1,0,1,198983375,198983390,1.248180032,12.473679543,11.225500107,12.744000000
1,1,1,5,198983390,198983406,2.235039949,12.505439758,10.270400047,12.781000000
1,1,2,5,198983406,198983421,2.025939941,12.406740189,10.380800247,12.835000000
1,1,3,1,198983421,198983437,1.110999942,12.394399643,11.283399582,12.745000000
1,2,0,1,198983437,198983437,1.104640007,12.453539848,11.348899841,12.852000000
1,2,1,5,198983437,198983453,2.176140070,12.408639908,10.232500076,12.807000000
1,2,2,5,198983453,198983468,2.004600048,12.366299629,10.361700058,12.756000000
1,2,3,1,198983468,198983484,1.061059952,12.460860252,11.399800301,12.826000000
1,3,0,1,198983484,198983500,1.002480030,12.457880020,11.455400467,12.847000000
1,3,1,5,198983500,198983515,2.121419907,12.373920441,10.252499580,12.794000000
1,3,2,5,198983515,198983515,2.117739916,12.263939857,10.146200180,12.649000000
1,3,3,1,198983515,198983531,1.202839971,12.456740379,11.253899574,12.732000000
1,4,0,1,198983531,198983546,1.125159979,12.485659599,11.360500336,12.774000000
1,4,1,5,198983546,198983562,2.157900095,12.434800148,10.276900291,12.748000000
1,4,2,5,198983562,198983578,2.130719900,12.413220406,10.282500267,12.712000000
1,4,3,1,198983578,198983578,1.208299994,12.387399673,11.179100037,12.684000000
1,5,0,1,198983578,198983593,1.105939984,12.517140388,11.411199570,12.833000000
1,5,1,5,198983593,198983609,2.245500088,12.444100380,10.198599815,12.807000000
1,5,2,5,198983609,198983625,2.125319958,12.336720467,10.211400032,12.730000000
1,5,3,1,198983625,198983640,1.065760016,12.365960121,11.300200462,12.776000000
1,6,0,1,198983640,198983656,1.155500054,12.484999657,11.329500198,12.854000000
1,6,1,5,198983656,198983656,2.232039928,12.410639763,10.178600311,12.781000000
1,6,2,5,198983656,198983671,2.128079891,12.351779938,10.223699570,12.729000000
1,6,3,1,198983671,198983687,1.136000037,12.465700150,11.329700470,12.821000000
1,7,0,1,198983687,198983703,1.143499970,12.457200050,11.313699722,12.826000000
1,7,1,5,198983703,198983718,2.094059944,12.357060432,10.262999535,12.743000000
1,7,2,5,198983718,198983718,2.140059948,12.374159813,10.234100342,12.776000000
1,7,3,1,198983718,198983734,1.195199966,12.502799988,11.307600021,12.864000000
2,0,0,5,198983843,198983859,2.106620073,12.353919983,10.247300148,12.765000000
2,0,1,14,198983859,198983875,2.947979927,12.533180237,9.585200310,12.882000000
