phase,frame,start_tick,end_tick,wall_ms
0,0,198062859,198062875,12.576000000
0,1,198062875,198062890,12.372000000
0,2,198062890,198062906,12.420000000
0,3,198062906,198062921,12.547000000
0,4,198062921,198062921,12.829000000
0,5,198062921,198062937,12.884000000
0,6,198062937,198062953,12.956000000
0,7,198062953,198062968,12.744000000
0,8,198062968,198062984,13.022000000
0,9,198062984,198063000,12.804000000
0,10,198063000,198063000,12.877000000
0,11,198063000,198063015,12.846000000
0,12,198063015,198063031,12.789000000
0,13,198063031,198063046,12.788000000
0,14,198063046,198063062,12.702000000
0,15,198063062,198063078,12.681000000
0,16,198063078,198063078,13.044000000
0,17,198063078,198063093,12.656000000
0,18,198063093,198063109,12.927000000
0,19,198063109,198063125,12.773000000
0,20,198063125,198063140,12.698000000
0,21,198063140,198063140,12.703000000
0,22,198063140,198063156,12.752000000
0,23,198063156,198063171,12.769000000
0,24,198063171,198063187,12.726000000
0,25,198063187,198063203,12.706000000
0,26,198063203,198063203,12.837000000
0,27,198063203,198063218,12.709000000
0,28,198063218,198063234,12.766000000
0,29,198063234,198063250,12.675000000
0,30,198063250,198063265,12.742000000
0,31,198063265,198063281,12.794000000
0,32,198063281,198063281,12.731000000
0,33,198063281,198063296,12.764000000
0,34,198063296,198063312,12.796000000
0,35,198063312,198063328,12.945000000
0,36,198063328,198063343,12.798000000
0,37,198063343,198063343,12.736000000
0,38,198063343,198063359,12.619000000
0,39,198063359,198063375,12.928000000
0,40,198063375,198063390,12.693000000
0,41,198063390,198063406,12.717000000
0,42,198063406,198063421,12.657000000
0,43,198063421,198063421,12.698000000
0,44,198063421,198063437,12.820000000
0,45,198063437,198063453,12.722000000
0,46,198063453,198063468,12.667000000
0,47,198063468,198063484,12.674000000
0,48,198063484,198063484,12.811000000
0,49,198063484,198063500,12.946000000
0,50,198063500,198063515,12.785000000
0,51,198063515,198063531,12.916000000
0,52,198063531,198063546,12.781000000
0,53,198063546,198063562,12.888000000
0,54,198063562,198063562,12.934000000
0,55,198063562,198063578,12.914000000
0,56,198063578,198063593,12.789000000
0,57,198063593,198063609,12.859000000
0,58,198063609,198063625,12.921000000
0,59,198063625,198063640,12.866000000
0,60,198063640,198063640,12.893000000
0,61,198063640,198063656,12.796000000
0,62,198063656,198063671,12.819000000
0,63,198063671,198063687,12.739000000
0,64,198063687,198063703,12.761000000
0,65,198063703,198063703,12.747000000
0,66,198063703,198063718,12.777000000
0,67,198063718,198063734,12.887000000
0,68,198063734,198063750,12.838000000
0,69,198063750,198063765,12.776000000
0,70,198063765,198063781,12.803000000
0,71,198063781,198063781,12.841000000
0,72,198063781,198063796,12.876000000
0,73,198063796,198063812,12.863000000
0,74,198063812,198063828,12.736000000
0,75,198063828,198063843,12.734000000
0,76,198063843,198063843,12.844000000
0,77,198063843,198063859,12.891000000
0,78,198063859,198063875,12.844000000
0,79,198063875,198063890,12.794000000
0,80,198063890,198063906,12.732000000
0,81,198063906,198063921,12.683000000
0,82,198063921,198063921,12.688000000
0,83,198063921,198063937,12.845000000
0,84,198063937,198063953,12.839000000
0,85,198063953,198063968,12.949000000
0,86,198063968,198063984,12.735000000
0,87,198063984,198063984,12.861000000
0,88,198063984,198064000,12.805000000
0,89,198064000,198064015,12.880000000
0,90,198064015,198064031,12.954000000
0,91,198064031,198064046,12.966000000
0,92,198064046,198064062,12.888000000
0,93,198064062,198064062,12.983000000
0,94,198064062,198064078,12.874000000
0,95,198064078,198064093,12.867000000
0,96,198064093,198064109,12.799000000
0,97,198064109,198064125,12.910000000
0,98,198064125,198064140,12.881000000
0,99,198064140,198064140,12.835000000
1,0,198064156,198064171,23.643000000
1,1,198064171,198064203,23.342000000
1,2,198064203,198064218,23.589000000
1,3,198064218,198064250,23.610000000
1,4,198064250,198064265,23.616000000
1,5,198064265,198064296,23.160000000
1,6,198064296,198064312,23.406000000
1,7,198064312,198064343,23.591000000
2,0,198064343,198064359,12.631000000
2,1,198064359,198064375,12.434000000
2,2,198064375,198064390,12.302000000
2,3,198064390,198064390,12.249000000
2,4,198064390,198064406,12.315000000
2,5,198064406,198064421,12.309000000
2,6,198064421,198064437,12.309000000
2,7,198064437,198064453,12.447000000
2,8,198064453,198064453,12.539000000
2,9,198064453,198064468,12.699000000
2,10,198064468,198064484,12.942000000
2,11,198064484,198064500,12.933000000
2,12,198064500,198064515,12.937000000
2,13,198064515,198064515,12.939000000
2,14,198064515,198064531,12.959000000
2,15,198064531,198064546,12.929000000
2,16,198064546,198064562,12.893000000
2,17,198064562,198064578,12.862000000
2,18,198064578,198064593,12.967000000
2,19,198064593,198064593,12.873000000
2,20,198064593,198064609,12.873000000
2,21,198064609,198064625,12.971000000
2,22,198064625,198064640,12.798000000
2,23,198064640,198064656,13.002000000
2,24,198064656,198064671,12.817000000
2,25,198064671,198064671,12.792000000
2,26,198064671,198064687,12.819000000
2,27,198064687,198064703,12.805000000
2,28,198064703,198064718,12.777000000
2,29,198064718,198064734,12.810000000
2,30,198064734,198064734,12.793000000
2,31,198064734,198064750,12.887000000
2,32,198064750,198064765,12.739000000
2,33,198064765,198064781,12.788000000
2,34,198064781,198064796,12.812000000
2,35,198064796,198064812,12.966000000
2,36,198064812,198064812,12.914000000
2,37,198064812,198064828,12.816000000
2,38,198064828,198064843,12.758000000
2,39,198064843,198064859,12.747000000
2,40,198064859,198064875,12.788000000
2,41,198064875,198064890,12.800000000
2,42,198064890,198064890,12.790000000
2,43,198064890,198064906,12.755000000
2,44,198064906,198064921,12.752000000
2,45,198064921,198064937,12.800000000
2,46,198064937,198064953,12.749000000
2,47,198064953,198064953,13.060000000
2,48,198064953,198064968,12.821000000
2,49,198064968,198064984,13.071000000
2,50,198064984,198065000,12.907000000
2,51,198065000,198065015,12.892000000
2,52,198065015,198065031,12.893000000
2,53,198065031,198065031,13.004000000
2,54,198065031,198065046,13.056000000
