frame,index,module,kernel,stage,groups,threads,count,start_ms,end_ms,duration_ms,frame_ms,scalar_args
0,34,mh_fast,mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb,block18,416,512,1703936,5.465600014,5.566440105,0.100840002,23.410200119,_;_;_;_;_;6656;100;60;104;0;4
0,35,mh_fused,c256_attention_project_fb_bout_diag,block18,104,512,104,5.649400234,5.649960041,0.000560000,23.410200119,_;_;_;_;104;64;4;100;60;0;4
0,36,mh_fast,mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb,block19,416,512,1703936,5.651679993,5.754479885,0.102799997,23.410200119,_;_;_;_;_;6656;100;60;104;0;0
0,37,mh_fused,c256_attention_project_fb_bout_diag,block19,104,512,104,5.837560177,5.838119984,0.000560000,23.410200119,_;_;_;_;104;64;4;100;60;0;0
0,38,mh_fast,mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb,block20,416,512,1703936,5.839799881,5.948080063,0.108280003,23.410200119,_;_;_;_;_;6656;100;60;104;4;4
0,39,mh_fused,c256_attention_project_fb_bout_diag,block20,104,512,104,6.031879902,6.032440186,0.000560000,23.410200119,_;_;_;_;104;64;4;100;60;4;4
0,40,mh_fast,mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb,block21,416,512,1703936,6.034160137,6.136799812,0.102640003,23.410200119,_;_;_;_;_;6656;100;60;104;4;0
0,41,mh_fused,c256_attention_project_fb_bout_diag,block21,104,512,104,6.138199806,6.214360237,0.076159999,23.410200119,_;_;_;_;104;64;4;100;60;4;0
0,42,mh_fast,mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb,block22,416,512,1703936,6.322279930,6.322760105,0.000480000,23.410200119,_;_;_;_;_;6656;100;60;104;0;4
0,43,mh_fused,c256_attention_project_fb_diag,block22,104,512,104,6.324279785,6.405920029,0.081639998,23.410200119,_;_;_;_;104;64;3;100;60;0;4
0,44,mh_fast,mh_pool_project_group_c256,block23,94,256,768000,6.466680050,6.467120171,0.000440000,23.410200119,_;_;_;50;30;100;0;0
