variant,slot,tokens,launches,mean_us,output_diff,raw_diff,checked_bytes
raw,0,400,4604,32.427019983,0,0,1638400
raw,1,400,6026,29.395121142,0,0,1638400
raw,2,400,6400,29.283125000,0,0,1638400
raw,3,400,5087,33.435816788,0,0,1638400
raw,4,400,4923,33.083282551,0,0,1638400
raw,5,400,6060,29.618976898,0,0,1638400
raw,6,400,6083,29.437613020,0,0,1638400
raw,7,400,5643,33.278398015,0,0,1638400
act,0,400,4712,33.041595925,0,0,1638400
act,1,400,4188,30.081900669,0,0,1638400
act,2,400,6299,29.835370694,0,0,1638400
act,3,400,5517,33.397136125,0,0,1638400
act,4,400,4984,32.971308186,0,0,1638400
act,5,400,5925,29.909704641,0,0,1638400
act,6,400,5536,29.653721098,0,0,1638400
act,7,400,5704,33.273667602,0,0,1638400
split,0,400,5298,33.275386938,0,0,1638400
split,1,400,3716,36.614370291,0,0,1638400
split,2,400,4747,37.008847693,0,0,1638400
split,3,400,5387,33.409689994,0,0,1638400
split,4,400,5460,32.905677656,0,0,1638400
split,5,400,4826,37.178201409,0,0,1638400
split,6,400,4761,37.550514598,0,0,1638400
split,7,400,5517,33.389160776,0,0,1638400
