variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,100,18.275820000,0,0,207353500,207355328
1,1,1,100,18.058230000,0,800,207356062,207357859
1,2,1,100,18.080140000,0,800,207358593,207360406
1,3,0,100,18.273380000,0,0,207361140,207362968
1,4,0,100,18.272920000,0,0,207363703,207365531
1,5,1,100,18.088170000,0,800,207366265,207368078
1,6,1,100,18.109480000,0,800,207368812,207370625
1,7,0,100,18.338110000,0,0,207371359,207373187
2,0,0,100,18.358070000,0,0,207373937,207375765
2,1,2,100,18.787260000,0,800,207376531,207378406
2,2,2,100,18.780220000,0,800,207379171,207381046
2,3,0,100,18.345590000,0,0,207381781,207383625
2,4,0,100,18.359360000,0,0,207384359,207386203
2,5,2,100,18.791180000,0,800,207386953,207388828
2,6,2,100,18.829570000,0,800,207389593,207391484
2,7,0,100,18.386030000,0,0,207392218,207394062
