repeat,candidate,slot,mode,frames,ms,diag_calls,pdl_calls
0,1,0,0,160,11.537512500,960,11880
0,1,1,1,160,11.612475000,960,23760
0,1,2,1,160,11.593168750,960,35640
0,1,3,0,160,11.648006250,960,47520
0,2,0,0,160,11.635456250,960,59400
0,2,1,2,160,11.628156250,960,71280
0,2,2,2,160,11.634337500,960,83160
0,2,3,0,160,11.677125000,960,95040
1,1,0,0,160,11.667318750,960,106920
1,1,1,1,160,11.685718750,960,118800
1,1,2,1,160,11.681075000,960,130680
1,1,3,0,160,11.694668750,960,142560
1,2,0,0,160,11.683400000,960,154440
1,2,1,2,160,11.687743750,960,166320
1,2,2,2,160,11.686087500,960,178200
1,2,3,0,160,11.693587500,960,190080
2,1,0,0,160,11.722981250,960,201960
2,1,1,1,160,11.705268750,960,213840
2,1,2,1,160,11.711768750,960,225720
2,1,3,0,160,11.730756250,960,237600
2,2,0,0,160,11.708456250,960,249480
2,2,1,2,160,11.699006250,960,261360
2,2,2,2,160,11.690125000,960,273240
2,2,3,0,160,11.723693750,960,285120
