frame,enqueue_ms,wait_ms,total_ms
0,0.483000000,11.971000000,12.454000000
1,0.502000000,12.130000000,12.632000000
2,0.464000000,12.281000000,12.745000000
3,0.471000000,12.393000000,12.864000000
4,0.440000000,12.431000000,12.871000000
5,0.429000000,12.450000000,12.880000000
6,0.577000000,12.370000000,12.947000000
7,0.550000000,12.397000000,12.947000000
8,0.478000000,12.468000000,12.946000000
9,0.459000000,12.453000000,12.912000000
10,0.462000000,12.461000000,12.923000000
11,0.423000000,12.413000000,12.836000000
12,0.440000000,12.375000000,12.815000000
13,0.444000000,12.404000000,12.848000000
14,0.454000000,12.427000000,12.881000000
15,0.446000000,12.448000000,12.894000000
16,0.461000000,12.423000000,12.884000000
17,0.438000000,12.424000000,12.862000000
18,0.456000000,12.479000000,12.935000000
19,0.510000000,12.415000000,12.925000000
20,0.454000000,12.462000000,12.916000000
21,0.455000000,12.432000000,12.887000000
22,0.451000000,12.419000000,12.871000000
23,0.594000000,12.319000000,12.913000000
24,0.455000000,12.462000000,12.917000000
25,0.452000000,12.468000000,12.920000000
26,0.433000000,12.453000000,12.886000000
27,0.439000000,12.439000000,12.878000000
28,0.460000000,12.441000000,12.901000000
29,0.432000000,12.482000000,12.914000000
30,0.508000000,12.409000000,12.917000000
31,0.622000000,12.375000000,12.997000000
32,0.454000000,12.381000000,12.835000000
33,0.443000000,12.494000000,12.937000000
34,0.454000000,12.455000000,12.909000000
35,0.445000000,12.441000000,12.887000000
36,0.424000000,12.410000000,12.834000000
37,0.487000000,12.432000000,12.920000000
38,0.441000000,12.472000000,12.914000000
39,0.454000000,12.468000000,12.923000000
40,0.459000000,12.387000000,12.847000000
41,0.473000000,12.482000000,12.955000000
42,0.458000000,12.462000000,12.920000000
43,0.442000000,12.461000000,12.903000000
44,0.543000000,12.368000000,12.911000000
45,0.434000000,12.446000000,12.880000000
46,0.502000000,12.439000000,12.941000000
47,0.737000000,12.352000000,13.089000000
48,0.434000000,12.367000000,12.801000000
49,0.644000000,12.307000000,12.951000000
50,0.479000000,12.406000000,12.885000000
51,0.446000000,12.437000000,12.883000000
52,0.443000000,12.401000000,12.844000000
53,0.512000000,12.382000000,12.894000000
54,0.448000000,12.443000000,12.891000000
55,0.491000000,12.444000000,12.935000000
56,0.435000000,12.465000000,12.900000000
57,0.453000000,12.441000000,12.894000000
58,0.524000000,12.372000000,12.896000000
59,0.438000000,12.433000000,12.871000000
60,0.412000000,12.395000000,12.807000000
61,0.453000000,12.435000000,12.888000000
62,0.435000000,12.432000000,12.867000000
63,0.468000000,12.443000000,12.911000000
