variant,slot,mode,frames,mean_ms,bitdiff,replacements,start_ms,end_ms
1,0,0,200,12.745020000,0,0,255406609,255409156
1,1,1,200,12.782225000,0,3200,255409671,255412234
1,2,1,200,12.788110000,0,3200,255412750,255415296
1,3,0,200,12.772310000,0,0,255415812,255418375
1,4,0,200,12.787180000,0,0,255418890,255421453
1,5,1,200,12.797005000,0,3200,255421968,255424531
1,6,1,200,12.777885000,0,3200,255425046,255427593
1,7,0,200,12.805540000,0,0,255428109,255430671
