kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,5,0,0,300,10.616488333,0.000,0
cand,0,5,1,1,300,10.664880000,1.000,0
cand,0,5,2,1,300,10.679109667,1.000,0
cand,0,5,3,0,300,10.708258667,0.000,0
cand,1,5,0,0,300,10.718621000,0.000,0
cand,1,5,1,1,300,10.704067000,1.000,0
cand,1,5,2,1,300,10.720838000,1.000,0
cand,1,5,3,0,300,10.733426333,0.000,0
cand,2,5,0,0,300,10.725567667,0.000,0
cand,2,5,1,1,300,10.719841333,1.000,0
cand,2,5,2,1,300,10.737530000,1.000,0
cand,2,5,3,0,300,10.746676000,0.000,0
cand,3,5,0,0,300,10.773768000,0.000,0
cand,3,5,1,1,300,10.762158667,1.000,0
cand,3,5,2,1,300,10.760701333,1.000,0
cand,3,5,3,0,300,10.763902000,0.000,0
cand,4,5,0,0,300,10.771760667,0.000,0
cand,4,5,1,1,300,10.758455333,1.000,0
cand,4,5,2,1,300,10.749459333,1.000,0
cand,4,5,3,0,300,10.761609667,0.000,0
cand,5,5,0,0,300,10.754847333,0.000,0
cand,5,5,1,1,300,10.757471333,1.000,0
cand,5,5,2,1,300,10.750427667,1.000,0
cand,5,5,3,0,300,10.783521333,0.000,0
