kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,2,0,0,200,14.928183500,0.000,0
cand,0,2,1,1,200,14.929537000,16.000,0
cand,0,2,2,1,200,14.937804000,16.000,0
cand,0,2,3,0,200,14.958516000,0.000,0
cand,1,2,0,0,200,14.949036000,0.000,0
cand,1,2,1,1,200,14.949028000,16.000,0
cand,1,2,2,1,200,14.950636000,16.000,0
cand,1,2,3,0,200,14.989591000,0.000,0
cand,2,2,0,0,200,15.005989500,0.000,0
cand,2,2,1,1,200,14.995445500,16.000,0
cand,2,2,2,1,200,15.016145500,16.000,0
cand,2,2,3,0,200,15.017954500,0.000,0
