kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,2,0,0,200,10.852254500,0.000,0
cand,0,2,1,1,200,11.000734500,8.000,0
cand,0,2,2,1,200,11.018417000,8.000,0
cand,0,2,3,0,200,10.830476000,0.000,0
cand,0,3,0,0,200,10.849411500,0.000,0
cand,0,3,1,1,200,10.943595000,8.000,0
cand,0,3,2,1,200,10.937338500,8.000,0
cand,0,3,3,0,200,10.848579500,0.000,0
cand,0,4,0,0,200,10.847136000,0.000,0
cand,0,4,1,1,200,10.931592500,8.000,0
cand,0,4,2,1,200,10.908591000,8.000,0
cand,0,4,3,0,200,10.848440000,0.000,0
cand,0,5,0,0,200,10.856194000,0.000,0
cand,0,5,1,1,200,10.810928000,8.000,0
cand,0,5,2,1,200,10.811435500,8.000,0
cand,0,5,3,0,200,10.859777500,0.000,0
cand,0,6,0,0,200,10.857177000,0.000,0
cand,0,6,1,1,200,10.751926000,8.000,0
cand,0,6,2,1,200,10.755289000,8.000,0
cand,0,6,3,0,200,10.849840500,0.000,0
cand,0,7,0,0,200,10.871988500,0.000,0
cand,0,7,1,1,200,10.848499000,8.000,0
cand,0,7,2,1,200,10.851781500,8.000,0
cand,0,7,3,0,200,10.871357500,0.000,0
cand,1,2,0,0,200,10.866027000,0.000,0
cand,1,2,1,1,200,11.030814000,8.000,0
cand,1,2,2,1,200,11.036709500,8.000,0
cand,1,2,3,0,200,10.856910500,0.000,0
cand,1,3,0,0,200,10.875442500,0.000,0
cand,1,3,1,1,200,10.968953000,8.000,0
cand,1,3,2,1,200,10.968946500,8.000,0
cand,1,3,3,0,200,10.855779000,0.000,0
cand,1,4,0,0,200,10.863805000,0.000,0
cand,1,4,1,1,200,10.923837000,8.000,0
cand,1,4,2,1,200,10.931300000,8.000,0
cand,1,4,3,0,200,10.859971000,0.000,0
cand,1,5,0,0,200,10.859718500,0.000,0
cand,1,5,1,1,200,10.827972000,8.000,0
cand,1,5,2,1,200,10.821217500,8.000,0
cand,1,5,3,0,200,10.860940000,0.000,0
cand,1,6,0,0,200,10.868709000,0.000,0
cand,1,6,1,1,200,10.761434000,8.000,0
cand,1,6,2,1,200,10.782363500,8.000,0
cand,1,6,3,0,200,10.866591500,0.000,0
cand,1,7,0,0,200,10.873077500,0.000,0
cand,1,7,1,1,200,10.851753500,8.000,0
cand,1,7,2,1,200,10.854544500,8.000,0
cand,1,7,3,0,200,10.860778000,0.000,0
cand,2,2,0,0,200,10.856919000,0.000,0
cand,2,2,1,1,200,11.035600000,8.000,0
cand,2,2,2,1,200,11.032135000,8.000,0
cand,2,2,3,0,200,10.870065500,0.000,0
cand,2,3,0,0,200,10.863588000,0.000,0
cand,2,3,1,1,200,10.978933500,8.000,0
cand,2,3,2,1,200,11.000825000,8.000,0
cand,2,3,3,0,200,10.916681500,0.000,0
cand,2,4,0,0,200,10.858974000,0.000,0
cand,2,4,1,1,200,10.939138000,8.000,0
cand,2,4,2,1,200,10.936918000,8.000,0
cand,2,4,3,0,200,10.886882000,0.000,0
cand,2,5,0,0,200,10.873957500,0.000,0
cand,2,5,1,1,200,10.827765000,8.000,0
cand,2,5,2,1,200,10.830954000,8.000,0
cand,2,5,3,0,200,10.877074500,0.000,0
cand,2,6,0,0,200,10.878131500,0.000,0
cand,2,6,1,1,200,10.764707500,8.000,0
cand,2,6,2,1,200,10.771699500,8.000,0
cand,2,6,3,0,200,10.899405000,0.000,0
cand,2,7,0,0,200,10.867034000,0.000,0
cand,2,7,1,1,200,10.854540000,8.000,0
cand,2,7,2,1,200,10.860837000,8.000,0
cand,2,7,3,0,200,10.873963500,0.000,0
