kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,2,0,0,200,15.014047000,0.000,0
cand,0,2,1,1,200,15.166483000,8.000,0
cand,0,2,2,1,200,15.201565000,8.000,0
cand,0,2,3,0,200,15.118655000,0.000,0
cand,0,3,0,0,200,15.116034500,0.000,0
cand,0,3,1,1,200,15.314545000,8.000,0
cand,0,3,2,1,200,15.316617000,8.000,0
cand,0,3,3,0,200,15.163891000,0.000,0
cand,0,4,0,0,200,15.166953500,0.000,0
cand,0,4,1,1,200,15.119261000,8.000,0
cand,0,4,2,1,200,15.148344000,8.000,0
cand,0,4,3,0,200,15.217405500,0.000,0
cand,0,5,0,0,200,15.216180500,0.000,0
cand,0,5,1,1,200,14.980783500,8.000,0
cand,0,5,2,1,200,14.985692500,8.000,0
cand,0,5,3,0,200,15.213501000,0.000,0
cand,0,6,0,0,200,15.220271500,0.000,0
cand,0,6,1,1,200,14.946260500,8.000,0
cand,0,6,2,1,200,14.939516000,8.000,0
cand,0,6,3,0,200,15.249232500,0.000,0
cand,0,7,0,0,200,15.246948500,0.000,0
cand,0,7,1,1,200,15.085579500,8.000,0
cand,0,7,2,1,200,15.067995000,8.000,0
cand,0,7,3,0,200,15.271993000,0.000,0
cand,1,2,0,0,200,15.260503000,0.000,0
cand,1,2,1,1,200,15.430934500,8.000,0
cand,1,2,2,1,200,15.415036500,8.000,0
cand,1,2,3,0,200,15.270827500,0.000,0
cand,1,3,0,0,200,15.272224500,0.000,0
cand,1,3,1,1,200,15.430701000,8.000,0
cand,1,3,2,1,200,15.448548000,8.000,0
cand,1,3,3,0,200,15.263118500,0.000,0
cand,1,4,0,0,200,15.256842000,0.000,0
cand,1,4,1,1,200,15.211496500,8.000,0
cand,1,4,2,1,200,15.205008500,8.000,0
cand,1,4,3,0,200,15.264208000,0.000,0
cand,1,5,0,0,200,15.252236500,0.000,0
cand,1,5,1,1,200,15.042934000,8.000,0
cand,1,5,2,1,200,15.039708500,8.000,0
cand,1,5,3,0,200,15.278542000,0.000,0
cand,1,6,0,0,200,15.266099000,0.000,0
cand,1,6,1,1,200,14.973950000,8.000,0
cand,1,6,2,1,200,14.981415000,8.000,0
cand,1,6,3,0,200,15.277346500,0.000,0
cand,1,7,0,0,200,15.264110000,0.000,0
cand,1,7,1,1,200,15.133514500,8.000,0
cand,1,7,2,1,200,15.141153000,8.000,0
cand,1,7,3,0,200,15.291399500,0.000,0
cand,2,2,0,0,200,15.306587500,0.000,0
cand,2,2,1,1,200,15.447680000,8.000,0
cand,2,2,2,1,200,15.419914500,8.000,0
cand,2,2,3,0,200,15.294700000,0.000,0
cand,2,3,0,0,200,15.288403000,0.000,0
cand,2,3,1,1,200,15.478633000,8.000,0
cand,2,3,2,1,200,15.482422000,8.000,0
cand,2,3,3,0,200,15.294990500,0.000,0
cand,2,4,0,0,200,15.291922000,0.000,0
cand,2,4,1,1,200,15.247650000,8.000,0
cand,2,4,2,1,200,15.249979500,8.000,0
cand,2,4,3,0,200,15.293068000,0.000,0
cand,2,5,0,0,200,15.291414500,0.000,0
cand,2,5,1,1,200,15.068323500,8.000,0
cand,2,5,2,1,200,15.066285000,8.000,0
cand,2,5,3,0,200,15.308403500,0.000,0
cand,2,6,0,0,200,15.289543500,0.000,0
cand,2,6,1,1,200,14.998102500,8.000,0
cand,2,6,2,1,200,14.979644000,8.000,0
cand,2,6,3,0,200,15.317365500,0.000,0
cand,2,7,0,0,200,15.304790000,0.000,0
cand,2,7,1,1,200,15.124468000,8.000,0
cand,2,7,2,1,200,15.123212000,8.000,0
cand,2,7,3,0,200,15.296281500,0.000,0
