kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
dup,1,decoder_project2x_h16w,1,1,150,15.759804667,5.000,0
dup,1,decoder_project2x_h16w,2,1,150,15.756570000,5.000,0
dup,1,decoder_project2x_h16w,3,0,150,15.295666000,0.000,0
dup,1,mh_pool_project,0,0,150,15.294696000,0.000,0
dup,1,mh_pool_project,1,1,150,15.561446667,5.000,0
dup,1,mh_pool_project,2,1,150,15.567882667,5.000,0
dup,1,mh_pool_project,3,0,150,15.308102667,0.000,0
dup,1,split_ffn_fused_fp8_t8$,0,0,150,15.304208000,0.000,0
dup,1,split_ffn_fused_fp8_t8$,1,1,150,15.583446000,13.000,0
dup,1,split_ffn_fused_fp8_t8$,2,1,150,15.601756000,13.000,0
dup,1,split_ffn_fused_fp8_t8$,3,0,150,15.321392000,0.000,0
dup,1,split_projection_frag$,0,0,150,15.303835333,0.000,0
dup,1,split_projection_frag$,1,1,150,15.495290000,13.000,0
dup,1,split_projection_frag$,2,1,150,15.495022000,13.000,0
dup,1,split_projection_frag$,3,0,150,15.292880667,0.000,0
dup,1,mh_shift_pack$,0,0,150,15.324769333,0.000,0
dup,1,mh_shift_pack$,1,1,150,15.438086667,13.000,0
dup,1,mh_shift_pack$,2,1,150,15.446370000,13.000,0
dup,1,mh_shift_pack$,3,0,150,15.259557333,0.000,0
dup,1,vit_pack_input$',0,0,150,15.285194667,0.000,0
dup,1,vit_pack_input$',1,1,150,15.305750000,0.000,0
dup,1,vit_pack_input$',2,1,150,15.291050000,0.000,0
dup,1,vit_pack_input$',3,0,150,15.307416667,0.000,0
