phase,slot,mode,frames,ms
0,0,0,80,14.936072500
0,1,1,80,14.962342500
0,2,1,80,14.959173750
0,3,0,80,14.936956250
1,0,0,80,14.961740000
1,1,2,80,14.999462500
1,2,2,80,15.011252500
1,3,0,80,14.979651250
2,0,0,80,14.960153750
2,1,3,80,14.989595000
2,2,3,80,14.990006250
2,3,0,80,14.966536250
3,0,0,80,15.013491250
3,1,4,80,15.022308750
3,2,4,80,15.001588750
3,3,0,80,15.009608750
4,0,0,80,15.051301250
4,1,5,80,15.145875000
4,2,5,80,15.095153750
4,3,0,80,15.011960000
5,0,0,80,14.987570000
5,1,6,80,15.156642500
5,2,6,80,15.145877500
5,3,0,80,15.013107500
6,0,0,80,15.065715000
6,1,7,80,14.948431250
6,2,7,80,14.951255000
6,3,0,80,15.043420000
7,0,0,80,14.991107500
7,1,8,80,14.976401250
7,2,8,80,15.005596250
7,3,0,80,15.064657500
8,0,0,80,14.928735000
8,1,9,80,14.963123750
8,2,9,80,14.943460000
8,3,0,80,14.969295000
9,0,0,80,14.972620000
9,1,10,80,15.016296250
9,2,10,80,14.966956250
9,3,0,80,14.964273750
10,0,0,80,14.973170000
10,1,11,80,14.972282500
10,2,11,80,14.952506250
10,3,0,80,14.953955000
