test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.773431250,0,1600,287053484,287055531
1,1,1,160,12.651868750,0,1600,287055921,287057953
1,2,1,160,12.664018750,0,1600,287058328,287060359
1,3,0,160,12.791593750,0,1600,287060750,287062796
1,4,0,160,12.780650000,0,1600,287063187,287065218
1,5,1,160,12.691475000,0,1600,287065609,287067640
1,6,1,160,12.672968750,0,1600,287068031,287070062
1,7,0,160,12.785718750,0,1600,287070437,287072484
2,0,0,160,12.786762500,0,1600,287072875,287074921
2,1,2,160,12.550706250,0,1600,287075312,287077312
2,2,2,160,12.565081250,0,1600,287077687,287079703
2,3,0,160,12.795487500,0,1600,287080093,287082140
2,4,0,160,12.843656250,0,1600,287082531,287084593
2,5,2,160,12.576387500,0,1600,287084968,287086984
2,6,2,160,12.547631250,0,1600,287087359,287089375
2,7,0,160,12.805362500,0,1600,287089765,287091812
3,0,0,160,12.800418750,0,1600,287092203,287094250
3,1,3,160,12.545743750,0,1600,287094625,287096640
3,2,3,160,12.547425000,0,1600,287097015,287099031
3,3,0,160,12.794012500,0,1600,287099421,287101468
3,4,0,160,12.836256250,0,1600,287101859,287103906
3,5,3,160,12.558318750,0,1600,287104281,287106296
3,6,3,160,12.569143750,0,1600,287106687,287108687
3,7,0,160,12.790037500,0,1600,287109078,287111125
