kernel,code_bytes,max_threads,wave_size,lds_bytes,vgpr,private_bytes,vgpr_spills,static_barriers,static_wmma,unknown
_Z14k_reg_vit_convILi1ELi4EEv13VitConvParams,8820,32,32,0,105,0,0,0,8,0
_Z14k_reg_vit_ffwdILi1ELb0EEv13VitFfwdParams,5132,32,32,0,96,0,0,0,20,0
_Z14k_reg_vit_ffwdILi1ELb1EEv13VitFfwdParams,5924,32,32,0,97,0,0,0,20,0
_Z16k_conv_res_views12ConvPlParams,7272,256,32,24576,99,0,0,2,2,0
_Z16k_frag512_to_tinPKhPhi,868,1024,32,0,13,0,0,0,0,0
_Z16k_reg_swin_chainILi256EEv11ChainParams,33088,256,32,16388,168,112,10,10,104,0
_Z16k_swin_1h_32_fp810SwinParams,14892,256,32,62592,71,0,0,10,11,0
_Z16k_tin_to_frag512PKhPhi,864,1024,32,0,12,0,0,0,0,0
_Z21k_pre_block_1h_32_fp89PreParams,19568,256,32,64640,71,0,0,11,12,0
_Z22k_post_block_1h_32_fp810PostParams,17640,256,32,62592,74,0,0,13,13,0
_Z5k_qkv9QkvParams,6200,256,32,6144,119,0,0,2,3,0
_Z6k_ffwd10FfwdParams,5896,256,32,24576,77,0,0,4,8,0
_Z6k_mean10MeanParams,1244,1024,32,1024,8,0,0,9,0,0
_Z6k_qkv29QkvParams,8352,256,32,12800,128,0,0,2,16,0
_Z7k_ffwd211Ffwd2Params,7288,256,32,21504,113,0,0,2,12,0
_Z8k_expand12ExpandParams,3872,256,32,16384,43,0,0,1,2,0
_Z8k_export12ExportParams,8588,1024,32,0,29,0,0,0,0,0
_Z8k_import12ImportParams,6236,1024,32,0,21,0,0,0,0,0
_Z8k_repack12RepackParams,1032,1024,32,0,15,0,0,0,0,0
_Z9k_expand212ExpandParams,5092,256,32,0,126,0,0,0,8,0
