slot,mode,round,edge,after,start_tick,end_tick,prefix_ms,whole_ms,tail_ms,wall_ms,valid
5,1,6,1,1,259636296,259636312,5.897220135,12.623539925,6.726319790,12.759000000,1
5,1,6,2,1,259636312,259636328,5.937500000,12.805899620,6.868400097,12.915000000,1
5,1,6,3,0,259636328,259636343,5.717820168,12.467619896,6.749800205,12.684000000,1
5,1,7,0,0,259636343,259636359,5.760200024,12.518699646,6.758500099,12.661000000,1
5,1,7,1,1,259636359,259636375,5.822319984,12.605819702,6.783500195,12.751000000,1
5,1,7,2,1,259636375,259636375,5.875319958,12.620920181,6.745600224,12.758000000,1
5,1,7,3,0,259636375,259636390,5.759480000,12.534079552,6.774600029,12.661000000,1
5,1,8,0,0,259636390,259636406,5.807300091,12.525159836,6.717860222,12.660000000,1
5,1,8,1,1,259636406,259636421,6.083439827,12.582839966,6.499400139,12.736000000,1
5,1,8,2,1,259636421,259636437,5.967199802,12.708900452,6.741700172,12.813000000,1
5,1,8,3,0,259636437,259636437,5.708360195,12.443759918,6.735400200,12.619000000,1
5,1,9,0,0,259636437,259636453,5.804780006,12.616379738,6.811600208,12.777000000,1
5,1,9,1,1,259636453,259636468,5.843520164,12.637220383,6.793700218,12.781000000,1
5,1,9,2,1,259636468,259636484,5.892739773,12.756540298,6.863800049,12.907000000,1
5,1,9,3,0,259636484,259636500,5.734059811,12.435259819,6.701200008,12.725000000,1
5,1,10,0,0,259636500,259636515,5.769460201,12.538760185,6.769299984,12.682000000,1
5,1,10,1,1,259636515,259636515,5.886219978,12.583700180,6.697480202,12.711000000,1
5,1,10,2,1,259636515,259636531,5.867899895,12.627799988,6.759900093,12.763000000,1
5,1,10,3,0,259636531,259636546,5.876560211,12.642459869,6.765900135,12.777000000,1
5,1,11,0,0,259636546,259636562,5.769939899,12.540940285,6.770999908,12.677000000,1
5,1,11,1,1,259636562,259636578,5.887380123,12.597160339,6.709780216,12.731000000,1
5,1,11,2,1,259636578,259636578,5.856080055,12.592780113,6.736700058,12.731000000,1
5,1,11,3,0,259636578,259636593,5.793680191,12.592579842,6.798900127,12.726000000,1
5,1,12,0,0,259636593,259636609,5.810200214,12.594900131,6.784699917,12.731000000,1
5,1,12,1,1,259636609,259636625,5.809420109,12.546420097,6.736999989,12.677000000,1
5,1,12,2,1,259636625,259636640,5.817279816,12.565779686,6.748499870,12.703000000,1
5,1,12,3,0,259636640,259636640,5.789460182,12.576860428,6.787399769,12.715000000,1
5,1,13,0,0,259636640,259636656,5.882760048,12.661160469,6.778399944,12.761000000,1
5,1,13,1,1,259636656,259636671,5.908080101,12.605400085,6.697319984,12.747000000,1
5,1,13,2,1,259636671,259636687,5.870220184,12.560020447,6.689799786,12.698000000,1
5,1,13,3,0,259636687,259636703,5.792479992,12.560379982,6.767899990,12.692000000,1
5,1,14,0,0,259636703,259636718,5.826019764,12.619020462,6.793000221,12.759000000,1
5,1,14,1,1,259636718,259636718,5.869520187,12.589159966,6.719639778,12.743000000,1
5,1,14,2,1,259636718,259636734,5.876359940,12.616860390,6.740499973,12.745000000,1
5,1,14,3,0,259636734,259636750,5.831140041,12.612139702,6.781000137,12.744000000,1
5,1,15,0,0,259636750,259636765,5.785200119,12.538399696,6.753200054,12.672000000,1
5,1,15,1,1,259636765,259636781,5.843820095,12.597519875,6.753699780,12.737000000,1
5,1,15,2,1,259636781,259636781,5.867599964,12.577599525,6.710000038,12.735000000,1
5,1,15,3,0,259636781,259636796,5.763259888,12.530759811,6.767499924,12.664000000,1
6,1,0,0,0,259639250,259639265,5.561260223,12.122460365,6.561200142,12.346000000,1
6,1,0,1,1,259639265,259639265,5.897600174,12.491399765,6.593800068,12.618000000,1
6,1,0,2,1,259639265,259639281,5.793280125,12.408760071,6.615479946,12.542000000,1
6,1,0,3,0,259639281,259639296,5.778759956,12.594980240,6.816219807,12.734000000,1
6,1,1,0,0,259639296,259639312,5.855800152,12.656999588,6.801199913,12.820000000,1
6,1,1,1,1,259639312,259639328,5.887760162,12.658559799,6.770800114,12.808000000,1
6,1,1,2,1,259639328,259639328,5.846580029,12.627479553,6.780900002,12.757000000,1
6,1,1,3,0,259639328,259639343,5.873360157,12.691659927,6.818299770,12.813000000,1
6,1,2,0,0,259639343,259639359,5.816279888,12.620779991,6.804500103,12.776000000,1
6,1,2,1,1,259639359,259639375,5.826159954,12.594559669,6.768400192,12.735000000,1
6,1,2,2,1,259639375,259639390,5.836339951,12.590439796,6.754099846,12.731000000,1
6,1,2,3,0,259639390,259639406,5.848599911,12.605199814,6.756599903,12.733000000,1
6,1,3,0,0,259639406,259639406,5.772640228,12.546540260,6.773900032,12.668000000,1
6,1,3,1,1,259639406,259639421,5.923140049,12.631119728,6.707980156,12.780000000,1
6,1,3,2,1,259639421,259639437,5.886199951,12.634499550,6.748300076,12.782000000,1
6,1,3,3,0,259639437,259639453,5.748939991,12.525340080,6.776400089,12.700000000,1
6,1,4,0,0,259639453,259639468,5.770520210,12.557920456,6.787399769,12.702000000,1
6,1,4,1,1,259639468,259639468,5.853400230,12.542699814,6.689300060,12.683000000,1
6,1,4,2,1,259639468,259639484,5.824319839,12.605019569,6.780700207,12.760000000,1
6,1,4,3,0,259639484,259639500,5.823140144,12.584039688,6.760900021,12.716000000,1
6,1,5,0,0,259639500,259639515,5.797379971,12.543780327,6.746399879,12.686000000,1
6,1,5,1,1,259639515,259639531,5.901919842,12.623519897,6.721600056,12.767000000,1
6,1,5,2,1,259639531,259639546,5.859159946,12.654859543,6.795700073,12.814000000,1
6,1,5,3,0,259639546,259639546,5.801400185,12.569800377,6.768400192,12.716000000,1
6,1,6,0,0,259639546,259639562,5.787740231,12.573240280,6.785500050,12.704000000,1
