phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
packv,0,0,1,1,131,1676.000000000,0,141557760
packv,0,1,0,1,122,1790.655737705,0,141557760
packv,0,2,0,1,126,1805.952380952,0,141557760
packv,0,3,1,1,128,1698.367187500,0,141557760
packv,1,0,0,1,123,1793.252032520,0,141557760
packv,1,1,0,2,107,2056.000000000,0,141557760
packv,1,2,0,2,96,2067.239583333,0,141557760
packv,1,3,0,1,122,1793.852459016,0,141557760
packv,2,0,0,1,122,1794.049180328,0,141557760
packv,2,1,0,4,84,2627.880952381,0,141557760
packv,2,2,0,4,84,2627.809523810,0,141557760
packv,2,3,0,1,120,1800.033333333,0,141557760
